date,PM25,PM10,O3,SO2,NO2,CO,AQI,grade,factor
2015-09-02,105,72,134,19,60,28,134,轻度污染,O3
2015-09-01,68,57,100,13,40,20,100,良,O3
2015-08-31,65,51,77,12,39,20,77,良,O3
2015-08-30,87,59,95,14,35,20,95,良,O3
2015-08-29,104,62,110,14,39,23,110,轻度污染,O3
2015-08-28,133,75,128,20,68,30,133,轻度污染,PM2.5
2015-08-27,147,86,152,20,72,28,152,中度污染,O3
2015-08-26,92,73,138,19,72,28,138,轻度污染,O3
2015-08-25,57,53,97,15,43,23,97,良,O3
2015-08-24,38,31,55,9,28,20,55,良,O3
2015-08-23,18,18,48,8,25,18,48,优,-
2015-08-22,22,16,47,9,38,18,47,优,-
2015-08-21,30,29,39,11,48,18,48,优,-
2015-08-20,59,55,78,12,43,23,78,良,O3
2015-08-19,39,38,74,11,32,18,74,良,O3
2015-08-18,65,53,78,11,29,18,78,良,O3
2015-08-17,60,54,82,11,27,20,82,良,O3
2015-08-16,49,43,44,11,29,18,49,优,-
2015-08-15,39,40,60,10,25,15,60,良,O3
2015-08-14,54,51,85,11,35,18,85,良,O3
2015-08-13,70,58,100,14,43,20,100,良,O3
2015-08-12,43,50,52,14,35,20,52,良,O3
2015-08-11,28,30,50,10,27,15,50,优,-
2015-08-10,23,30,30,8,18,13,30,优,-
2015-08-09,15,29,19,8,13,13,29,优,-
2015-08-08,16,33,20,8,13,13,33,优,-
2015-08-07,23,33,19,9,15,13,33,优,-
2015-08-06,32,43,38,10,18,13,43,优,-
2015-08-05,50,55,153,15,32,15,153,中度污染,O3
2015-08-04,59,59,181,16,37,18,181,中度污染,O3
2015-08-03,57,58,161,16,35,18,161,中度污染,O3
2015-08-02,67,60,155,17,33,18,155,中度污染,O3
2015-08-01,77,69,133,18,38,18,133,轻度污染,O3
2015-07-31,58,60,136,19,43,18,136,轻度污染,O3
2015-07-30,50,57,153,17,43,15,153,中度污染,O3
2015-07-29,72,69,173,20,48,20,173,中度污染,O3
2015-07-28,72,63,164,18,45,20,164,中度污染,O3
2015-07-27,74,64,137,16,47,20,137,轻度污染,O3
2015-07-26,115,72,130,13,64,25,130,轻度污染,O3
2015-07-25,77,63,127,14,58,23,127,轻度污染,O3
2015-07-24,54,48,90,13,40,18,90,良,O3
2015-07-23,55,50,44,10,58,20,58,良,NO2
2015-07-22,54,48,45,11,53,18,54,良,PM2.5
2015-07-21,58,52,38,13,47,15,58,良,PM2.5
2015-07-20,36,34,39,9,27,13,39,优,-
2015-07-19,29,32,36,8,23,13,36,优,-
2015-07-18,35,43,43,8,22,13,43,优,-
2015-07-17,43,46,40,8,24,13,46,优,-
2015-07-16,38,35,34,9,25,10,38,优,-
