区域,指标名称,年份,指标值
上海市,单位GDP固定资产投资_元每万元,1995,6408.6
上海市,单位GDP固定资产投资_元每万元,1996,6600.2
上海市,单位GDP固定资产投资_元每万元,1997,5750.8
上海市,单位GDP固定资产投资_元每万元,1998,5169.1
上海市,单位GDP固定资产投资_元每万元,1999,4432.7
上海市,单位GDP固定资产投资_元每万元,2000,3918.7
上海市,单位GDP固定资产投资_元每万元,2001,3828.6
上海市,单位GDP固定资产投资_元每万元,2002,3809.5
上海市,单位GDP固定资产投资_元每万元,2003,3663
上海市,单位GDP固定资产投资_元每万元,2004,3821
上海市,单位GDP固定资产投资_元每万元,2005,3829.8
上海市,单位GDP固定资产投资_元每万元,2006,3688.9
上海市,单位GDP固定资产投资_元每万元,2007,3538
上海市,单位GDP固定资产投资_元每万元,2008,3428
上海市,单位GDP固定资产投资_元每万元,2009,3352.1
上海市,单位GDP固定资产投资_元每万元,2010,2976.2
上海市,单位GDP固定资产投资_元每万元,2011,2585
上海市,单位GDP固定资产投资_元每万元,2012,2535.8
上海市,单位GDP氨氮排放量_公斤每万元,2001,0.547
上海市,单位GDP氨氮排放量_公斤每万元,2002,0.548
上海市,单位GDP氨氮排放量_公斤每万元,2003,0.471
上海市,单位GDP氨氮排放量_公斤每万元,2004,0.457
上海市,单位GDP氨氮排放量_公斤每万元,2005,0.450
上海市,单位GDP氨氮排放量_公斤每万元,2006,0.411
上海市,单位GDP氨氮排放量_公斤每万元,2007,0.346
上海市,单位GDP氨氮排放量_公斤每万元,2008,0.316
上海市,单位GDP氨氮排放量_公斤每万元,2009,0.258
上海市,单位GDP氨氮排放量_公斤每万元,2010,0.214
上海市,单位GDP氨氮排放量_公斤每万元,2011,0.338
上海市,单位GDP氨氮排放量_公斤每万元,2012,0.293
上海市,单位GDP用水总量_立方米每万元,1995,437.7
上海市,单位GDP用水总量_立方米每万元,1996,404.5
上海市,单位GDP用水总量_立方米每万元,1997,343.1
上海市,单位GDP用水总量_立方米每万元,1998,325.1
上海市,单位GDP用水总量_立方米每万元,1999,286.4
上海市,单位GDP用水总量_立方米每万元,2000,251.9
上海市,单位GDP用水总量_立方米每万元,2001,223.5
上海市,单位GDP用水总量_立方米每万元,2002,197.1
上海市,单位GDP用水总量_立方米每万元,2003,183.4
上海市,单位GDP用水总量_立方米每万元,2004,174
上海市,单位GDP用水总量_立方米每万元,2005,160.5
上海市,单位GDP用水总量_立方米每万元,2006,139.2
上海市,单位GDP用水总量_立方米每万元,2007,122.5
上海市,单位GDP用水总量_立方米每万元,2008,111.2
上海市,单位GDP用水总量_立方米每万元,2009,107.5
上海市,单位GDP用水总量_立方米每万元,2010,98.3
上海市,单位GDP用水总量_立方米每万元,2011,89.6
上海市,单位GDP用水总量_立方米每万元,2012,77.6
上海市,单位GDP能源消耗总量_公斤每万元,1995,1786.8
上海市,单位GDP能源消耗总量_公斤每万元,1996,1691.6
上海市,单位GDP能源消耗总量_公斤每万元,1997,1492.5
上海市,单位GDP能源消耗总量_公斤每万元,1998,1385.8
上海市,单位GDP能源消耗总量_公斤每万元,1999,1341.3
上海市,单位GDP能源消耗总量_公斤每万元,2000,1278.3
上海市,单位GDP能源消耗总量_公斤每万元,2001,1223.8
上海市,单位GDP能源消耗总量_公斤每万元,2002,1181
上海市,单位GDP能源消耗总量_公斤每万元,2003,1143.7
上海市,单位GDP能源消耗总量_公斤每万元,2004,1091.3
上海市,单位GDP能源消耗总量_公斤每万元,2005,1088.1
上海市,单位GDP能源消耗总量_公斤每万元,2006,1041.8
上海市,单位GDP能源消耗总量_公斤每万元,2007,985.3
上海市,单位GDP能源消耗总量_公斤每万元,2008,948.1
上海市,单位GDP能源消耗总量_公斤每万元,2009,889.9
上海市,单位GDP能源消耗总量_公斤每万元,2010,871.7
上海市,单位GDP能源消耗总量_公斤每万元,2011,810.6
上海市,单位GDP能源消耗总量_公斤每万元,2012,825.6
上海市,单位GDP重金属排放量_公斤每亿元,1995,10.3
上海市,单位GDP重金属排放量_公斤每亿元,1996,7.2
上海市,单位GDP重金属排放量_公斤每亿元,1997,3.8
上海市,单位GDP重金属排放量_公斤每亿元,1998,4.7
上海市,单位GDP重金属排放量_公斤每亿元,1999,1
上海市,单位GDP重金属排放量_公斤每亿元,2000,1.1
上海市,单位GDP重金属排放量_公斤每亿元,2001,0.4
上海市,单位GDP重金属排放量_公斤每亿元,2002,0.2
上海市,单位GDP重金属排放量_公斤每亿元,2003,0.1
