区域,指标名称,年份,指标值
七台河市,GDP_万元,2000,562000
七台河市,GDP_万元,2001,614500
七台河市,GDP_万元,2002,697000
七台河市,GDP_万元,2003,797000
七台河市,GDP_万元,2004,967000
七台河市,GDP_万元,2005,1002000
七台河市,GDP_万元,2006,1142000
七台河市,GDP_万元,2007,1351595
七台河市,GDP_万元,2008,1871600
七台河市,GDP_万元,2009,2336262
七台河市,GDP_万元,2010,3052200
七台河市,年末人口_万人,2000,86.32
七台河市,年末人口_万人,2001,86.63
七台河市,年末人口_万人,2002,86.3
七台河市,年末人口_万人,2003,87.4
七台河市,年末人口_万人,2004,88.1
七台河市,年末人口_万人,2005,88.4
七台河市,年末人口_万人,2006,89.1
七台河市,年末人口_万人,2007,89.5103
七台河市,年末人口_万人,2008,90.2
七台河市,年末人口_万人,2009,92.8
七台河市,年末人口_万人,2010,92.9
三亚市,GDP_万元,2000,295400
三亚市,GDP_万元,2001,318600
三亚市,GDP_万元,2002,359000
三亚市,GDP_万元,2003,412000
三亚市,GDP_万元,2004,482000
三亚市,GDP_万元,2005,742000
三亚市,GDP_万元,2006,1023000
三亚市,GDP_万元,2007,1298803
三亚市,GDP_万元,2008,1536000
三亚市,GDP_万元,2009,1826561
三亚市,GDP_万元,2010,2422100
三亚市,年末人口_万人,2000,47.51
三亚市,年末人口_万人,2001,48.6
三亚市,年末人口_万人,2002,49.6
三亚市,年末人口_万人,2003,50.4
三亚市,年末人口_万人,2004,50.8
三亚市,年末人口_万人,2005,51.2
三亚市,年末人口_万人,2006,52.4
三亚市,年末人口_万人,2007,53.5215
三亚市,年末人口_万人,2008,54.6
三亚市,年末人口_万人,2009,55.71
三亚市,年末人口_万人,2010,57
三明市,GDP_万元,2000,2549800
三明市,GDP_万元,2001,2720800
三明市,GDP_万元,2002,2866000
三明市,GDP_万元,2003,3207000
三明市,GDP_万元,2004,3758000
三明市,GDP_万元,2005,3928000
三明市,GDP_万元,2006,4536000
三明市,GDP_万元,2007,5456900
三明市,GDP_万元,2008,6669200
三明市,GDP_万元,2009,8002400
三明市,GDP_万元,2010,9751000
三明市,年末人口_万人,2000,266.72
三明市,年末人口_万人,2001,267.1
三明市,年末人口_万人,2002,267.5
三明市,年末人口_万人,2003,267.7
三明市,年末人口_万人,2004,263
三明市,年末人口_万人,2005,268.1
三明市,年末人口_万人,2006,268.6
三明市,年末人口_万人,2007,269.5
三明市,年末人口_万人,2008,270.1
三明市,年末人口_万人,2009,271.0608
三明市,年末人口_万人,2010,272.7
三门峡市,GDP_万元,2000,1686400
三门峡市,GDP_万元,2001,1811900
三门峡市,GDP_万元,2002,1972000
三门峡市,GDP_万元,2003,2246000
三门峡市,GDP_万元,2004,2747000
三门峡市,GDP_万元,2005,3352000
三门峡市,GDP_万元,2006,4121000
三门峡市,GDP_万元,2007,5184183
三门峡市,GDP_万元,2008,6542100
三门峡市,GDP_万元,2009,7027459
三门峡市,GDP_万元,2010,8744157
三门峡市,年末人口_万人,2000,215
三门峡市,年末人口_万人,2001,218
三门峡市,年末人口_万人,2002,220.1
三门峡市,年末人口_万人,2003,221
三门峡市,年末人口_万人,2004,221.4
三门峡市,年末人口_万人,2005,221.8
三门峡市,年末人口_万人,2006,222.4
三门峡市,年末人口_万人,2007,222.89
三门峡市,年末人口_万人,2008,223.4
三门峡市,年末人口_万人,2009,224.02
三门峡市,年末人口_万人,2010,225
上海市,GDP_万元,2000,45511500
上海市,GDP_万元,2001,49508400
上海市,GDP_万元,2002,54088000
上海市,GDP_万元,2003,62508000
上海市,GDP_万元,2004,74503000
上海市,GDP_万元,2005,91542000
上海市,GDP_万元,2006,103664000
上海市,GDP_万元,2007,121888500
上海市,GDP_万元,2008,136981500
上海市,GDP_万元,2009,150464500
上海市,GDP_万元,2010,171659800
上海市,年末人口_万人,2000,1321.63
上海市,年末人口_万人,2001,1327.14
上海市,年末人口_万人,2002,1334.2
上海市,年末人口_万人,2003,1341.8
上海市,年末人口_万人,2004,1352.4
上海市,年末人口_万人,2005,1360.3
上海市,年末人口_万人,2006,1368.1
上海市,年末人口_万人,2007,1378.86
上海市,年末人口_万人,2008,1391
上海市,年末人口_万人,2009,1400.7
上海市,年末人口_万人,2010,1412.3
上饶市,GDP_万元,2000,1734300
上饶市,GDP_万元,2001,1908600
上饶市,GDP_万元,2002,2183000
上饶市,GDP_万元,2003,2528000
上饶市,GDP_万元,2004,3011000
上饶市,GDP_万元,2005,3881000
上饶市,GDP_万元,2006,4514000
上饶市,GDP_万元,2007,5281238
上饶市,GDP_万元,2008,6283400
上饶市,GDP_万元,2009,7285029
上饶市,GDP_万元,2010,9010000
上饶市,年末人口_万人,2000,642.72
上饶市,年末人口_万人,2001,617.07
上饶市,年末人口_万人,2002,622.1
上饶市,年末人口_万人,2003,626.8
上饶市,年末人口_万人,2004,631.1
上饶市,年末人口_万人,2005,635.1
上饶市,年末人口_万人,2006,639.6
上饶市,年末人口_万人,2007,644.1204
上饶市,年末人口_万人,2008,649
上饶市,年末人口_万人,2009,653.7675
上饶市,年末人口_万人,2010,658.7
东莞市,GDP_万元,2000,4927100
东莞市,GDP_万元,2001,5789300
东莞市,GDP_万元,2002,6729000
东莞市,GDP_万元,2003,9480000
东莞市,GDP_万元,2004,11553000
东莞市,GDP_万元,2005,21816000
东莞市,GDP_万元,2006,26265000
东莞市,GDP_万元,2007,31519100
东莞市,GDP_万元,2008,37025300
东莞市,GDP_万元,2009,37639141.94
东莞市,GDP_万元,2010,42464500
东莞市,年末人口_万人,2000,152.61
东莞市,年末人口_万人,2001,153.89
东莞市,年末人口_万人,2002,156.2
东莞市,年末人口_万人,2003,159
东莞市,年末人口_万人,2004,162
东莞市,年末人口_万人,2005,165.7
东莞市,年末人口_万人,2006,168.3
东莞市,年末人口_万人,2007,171.26
东莞市,年末人口_万人,2008,174.9
东莞市,年末人口_万人,2009,178.73
东莞市,年末人口_万人,2010,181.8
东营市,GDP_万元,2000,4651100
东营市,GDP_万元,2001,5015200
东营市,GDP_万元,2002,5403000
东营市,GDP_万元,2003,6961000
东营市,GDP_万元,2004,8919000
