fundCode,fundName,date,currentValue,totalValue
165512,信诚新机遇混合,2015/10/26,2.092,2.092
165512,信诚新机遇混合,2015/10/23,2.073,2.073
165512,信诚新机遇混合,2015/10/22,2.021,2.021
165512,信诚新机遇混合,2015/10/21,1.969,1.969
165512,信诚新机遇混合,2015/10/20,2.045,2.045
165512,信诚新机遇混合,2015/10/19,2.018,2.018
165512,信诚新机遇混合,2015/10/16,2.023,2.023
165512,信诚新机遇混合,2015/10/15,1.992,1.992
165512,信诚新机遇混合,2015/10/14,1.941,1.941
165512,信诚新机遇混合,2015/10/13,1.964,1.964
165512,信诚新机遇混合,2015/10/12,1.947,1.947
165512,信诚新机遇混合,2015/10/9,1.891,1.891
165512,信诚新机遇混合,2015/10/8,1.864,1.864
165512,信诚新机遇混合,2015/9/30,1.815,1.815
165512,信诚新机遇混合,2015/9/29,1.807,1.807
165512,信诚新机遇混合,2015/9/28,1.832,1.832
165512,信诚新机遇混合,2015/9/25,1.814,1.814
165512,信诚新机遇混合,2015/9/24,1.842,1.842
165512,信诚新机遇混合,2015/9/23,1.822,1.822
165512,信诚新机遇混合,2015/9/22,1.841,1.841
165512,信诚新机遇混合,2015/9/21,1.834,1.834
165512,信诚新机遇混合,2015/9/18,1.802,1.802
165512,信诚新机遇混合,2015/9/17,1.79,1.79
165512,信诚新机遇混合,2015/9/16,1.811,1.811
165512,信诚新机遇混合,2015/9/15,1.732,1.732
165512,信诚新机遇混合,2015/9/14,1.79,1.79
165512,信诚新机遇混合,2015/9/11,1.874,1.874
165512,信诚新机遇混合,2015/9/10,1.864,1.864
165512,信诚新机遇混合,2015/9/09,1.894,1.894
165512,信诚新机遇混合,2015/9/08,1.841,1.841
165512,信诚新机遇混合,2015/9/07,1.779,1.779
165512,信诚新机遇混合,2015/9/02,1.774,1.774
165512,信诚新机遇混合,2015/9/01,1.797,1.797
165512,信诚新机遇混合,2015/8/31,1.867,1.867
165512,信诚新机遇混合,2015/8/28,1.907,1.907
165512,信诚新机遇混合,2015/8/27,1.827,1.827
165512,信诚新机遇混合,2015/8/26,1.774,1.774
165512,信诚新机遇混合,2015/8/25,1.794,1.794
165512,信诚新机遇混合,2015/8/24,1.903,1.903
165512,信诚新机遇混合,2015/8/21,2.03,2.03
165512,信诚新机遇混合,2015/8/20,2.117,2.117
165512,信诚新机遇混合,2015/8/19,2.176,2.176
165512,信诚新机遇混合,2015/8/18,2.144,2.144
165512,信诚新机遇混合,2015/8/17,2.294,2.294
165512,信诚新机遇混合,2015/8/14,2.293,2.293
165512,信诚新机遇混合,2015/8/13,2.276,2.276
165512,信诚新机遇混合,2015/8/12,2.238,2.238
165512,信诚新机遇混合,2015/8/11,2.274,2.274
165512,信诚新机遇混合,2015/8/10,2.271,2.271
165512,信诚新机遇混合,2015/8/07,2.192,2.192
165512,信诚新机遇混合,2015/8/06,2.137,2.137
165512,信诚新机遇混合,2015/8/05,2.124,2.124
165512,信诚新机遇混合,2015/8/04,2.134,2.134
165512,信诚新机遇混合,2015/8/03,2.044,2.044
165512,信诚新机遇混合,2015/7/31,2.111,2.111
165512,信诚新机遇混合,2015/7/30,2.146,2.146
165512,信诚新机遇混合,2015/7/29,2.19,2.19
165512,信诚新机遇混合,2015/7/28,2.098,2.098
165512,信诚新机遇混合,2015/7/27,2.159,2.159
165512,信诚新机遇混合,2015/7/24,2.291,2.291
165512,信诚新机遇混合,2015/7/23,2.326,2.326
165512,信诚新机遇混合,2015/7/22,2.275,2.275
165512,信诚新机遇混合,2015/7/21,2.247,2.247
165512,信诚新机遇混合,2015/7/20,2.207,2.207
165512,信诚新机遇混合,2015/7/17,2.168,2.168
165512,信诚新机遇混合,2015/7/16,2.054,2.054
165512,信诚新机遇混合,2015/7/15,2.001,2.001
165512,信诚新机遇混合,2015/7/14,2.127,2.127
165512,信诚新机遇混合,2015/7/13,2.09,2.09
165512,信诚新机遇混合,2015/7/10,1.967,1.967
165512,信诚新机遇混合,2015/7/09,1.855,1.855
165512,信诚新机遇混合,2015/7/08,1.803,1.803
165512,信诚新机遇混合,2015/7/07,1.883,1.883
165512,信诚新机遇混合,2015/7/06,1.986,1.986
165512,信诚新机遇混合,2015/7/03,2.043,2.043
165512,信诚新机遇混合,2015/7/02,2.183,2.183
165512,信诚新机遇混合,2015/7/01,2.338,2.338
165512,信诚新机遇混合,2015/6/30,2.487,2.487
165512,信诚新机遇混合,2015/6/29,2.358,2.358
165512,信诚新机遇混合,2015/6/26,2.552,2.552
165512,信诚新机遇混合,2015/6/25,2.815,2.815
165512,信诚新机遇混合,2015/6/24,2.937,2.937
165512,信诚新机遇混合,2015/6/23,2.871,2.871
165512,信诚新机遇混合,2015/6/19,2.834,2.834
165512,信诚新机遇混合,2015/6/18,3.012,3.012
165512,信诚新机遇混合,2015/6/17,3.122,3.122
165512,信诚新机遇混合,2015/6/16,3.07,3.07
