fund_code,company,date,current_value,quote
164809,工银中证500指数,2015/10/26,1.5298,1.6074
164809,工银中证500指数,2015/10/23,1.5182,1.5958
164809,工银中证500指数,2015/10/22,1.4793,1.5569
164809,工银中证500指数,2015/10/21,1.42,1.4976
164809,工银中证500指数,2015/10/20,1.5176,1.5952
164809,工银中证500指数,2015/10/19,1.4892,1.5668
164809,工银中证500指数,2015/10/16,1.4896,1.5672
164809,工银中证500指数,2015/10/15,1.4637,1.5413
164809,工银中证500指数,2015/10/14,1.4186,1.4962
164809,工银中证500指数,2015/10/13,1.4332,1.5108
164809,工银中证500指数,2015/10/12,1.4138,1.4914
164809,工银中证500指数,2015/10/9,1.3569,1.4345
164809,工银中证500指数,2015/10/8,1.3355,1.4131
164809,工银中证500指数,2015/9/30,1.2802,1.3578
164809,工银中证500指数,2015/9/29,1.2757,1.3533
164809,工银中证500指数,2015/9/28,1.3017,1.3793
164809,工银中证500指数,2015/9/25,1.2765,1.3541
164809,工银中证500指数,2015/9/24,1.3239,1.4015
164809,工银中证500指数,2015/9/23,1.3039,1.3815
164809,工银中证500指数,2015/9/22,1.3203,1.3979
164809,工银中证500指数,2015/9/21,1.3097,1.3873
164809,工银中证500指数,2015/9/18,1.2605,1.3381
164809,工银中证500指数,2015/9/17,1.2427,1.3203
164809,工银中证500指数,2015/9/16,1.268,1.3456
164809,工银中证500指数,2015/9/15,1.177,1.2546
164809,工银中证500指数,2015/9/14,1.2541,1.3317
164809,工银中证500指数,2015/9/11,1.3533,1.4309
164809,工银中证500指数,2015/9/10,1.3406,1.4182
164809,工银中证500指数,2015/9/09,1.3653,1.4429
164809,工银中证500指数,2015/9/08,1.3221,1.3997
164809,工银中证500指数,2015/9/07,1.2657,1.3433
164809,工银中证500指数,2015/9/02,1.2611,1.3387
164809,工银中证500指数,2015/9/01,1.2771,1.3547
164809,工银中证500指数,2015/8/31,1.3663,1.4439
164809,工银中证500指数,2015/8/28,1.4226,1.5002
164809,工银中证500指数,2015/8/27,1.3331,1.4107
164809,工银中证500指数,2015/8/26,1.2813,1.3589
164809,工银中证500指数,2015/8/25,1.3345,1.4121
164809,工银中证500指数,2015/8/24,1.4755,1.5531
164809,工银中证500指数,2015/8/21,1.6133,1.6909
164809,工银中证500指数,2015/8/20,1.7119,1.7895
164809,工银中证500指数,2015/8/19,1.7771,1.8547
164809,工银中证500指数,2015/8/18,1.7368,1.8144
164809,工银中证500指数,2015/8/17,1.8865,1.9641
164809,工银中证500指数,2015/8/14,1.8455,1.9231
164809,工银中证500指数,2015/8/13,1.8266,1.9042
164809,工银中证500指数,2015/8/12,1.7817,1.8593
164809,工银中证500指数,2015/8/11,1.8049,1.8825
164809,工银中证500指数,2015/8/10,1.7953,1.8729
164809,工银中证500指数,2015/8/07,1.7065,1.7841
164809,工银中证500指数,2015/8/06,1.655,1.7326
164809,工银中证500指数,2015/8/05,1.6658,1.7434
164809,工银中证500指数,2015/8/04,1.6891,1.7667
164809,工银中证500指数,2015/8/03,1.5966,1.6742
164809,工银中证500指数,2015/7/31,1.6404,1.718
164809,工银中证500指数,2015/7/30,1.6578,1.7354
164809,工银中证500指数,2015/7/29,1.7084,1.786
164809,工银中证500指数,2015/7/28,1.6204,1.698
164809,工银中证500指数,2015/7/27,1.6568,1.7344
164809,工银中证500指数,2015/7/24,1.8047,1.8823
164809,工银中证500指数,2015/7/23,1.8345,1.9121
164809,工银中证500指数,2015/7/22,1.7792,1.8568
164809,工银中证500指数,2015/7/21,1.7564,1.834
164809,工银中证500指数,2015/7/20,1.7321,1.8097
164809,工银中证500指数,2015/7/17,1.7024,1.78
164809,工银中证500指数,2015/7/16,1.5961,1.6737
164809,工银中证500指数,2015/7/15,1.553,1.6306
164809,工银中证500指数,2015/7/14,1.6681,1.7457
164809,工银中证500指数,2015/7/13,1.6577,1.7353
164809,工银中证500指数,2015/7/10,1.5982,1.6758
164809,工银中证500指数,2015/7/09,1.5213,1.5989
164809,工银中证500指数,2015/7/08,1.4199,1.4975
164809,工银中证500指数,2015/7/07,1.5731,1.6507
164809,工银中证500指数,2015/7/06,1.6975,1.7751
164809,工银中证500指数,2015/7/03,1.7305,1.8081
164809,工银中证500指数,2015/7/02,1.8469,1.9245
164809,工银中证500指数,2015/7/01,1.9774,2.055
164809,工银中证500指数,2015/6/30,2.0892,2.1668
164809,工银中证500指数,2015/6/29,1.9927,2.0703
164809,工银中证500指数,2015/6/26,2.1278,2.2054
164809,工银中证500指数,2015/6/25,2.3319,2.4095
164809,工银中证500指数,2015/6/24,2.4168,2.4944
164809,工银中证500指数,2015/6/23,2.3675,2.4451
164809,工银中证500指数,2015/6/19,2.3552,2.4328
164809,工银中证500指数,2015/6/18,2.5295,2.6071
164809,工银中证500指数,2015/6/17,2.6135,2.6911
164809,工银中证500指数,2015/6/16,2.5625,2.6401
164809,工银中证500指数,2015/6/15,2.6672,2.7448
164809,工银中证500指数,2015/6/12,2.7188,2.7964
164809,工银中证500指数,2015/6/11,2.6852,2.7628
164809,工银中证500指数,2015/6/10,2.649,2.7266
164809,工银中证500指数,2015/6/09,2.6042,2.6818
164809,工银中证500指数,2015/6/08,2.6091,2.6867
164809,工银中证500指数,2015/6/05,2.6364,2.714
164809,工银中证500指数,2015/6/04,2.5962,2.6738
164809,工银中证500指数,2015/6/03,2.6001,2.6777
164809,工银中证500指数,2015/6/02,2.5802,2.6578
164809,工银中证500指数,2015/6/01,2.4893,2.5669
164809,工银中证500指数,2015/5/29,2.3708,2.4484
164809,工银中证500指数,2015/5/28,2.348,2.4256
164809,工银中证500指数,2015/5/27,2.4907,2.5683
164809,工银中证500指数,2015/5/26,2.4615,2.5391
164809,工银中证500指数,2015/5/25,2.3847,2.4623
164809,工银中证500指数,2015/5/22,2.3247,2.4023
164809,工银中证500指数,2015/5/21,2.2888,2.3664
164809,工银中证500指数,2015/5/20,2.2083,2.2859
164809,工银中证500指数,2015/5/19,2.173,2.2506
164809,工银中证500指数,2015/5/18,2.122,2.1996
164809,工银中证500指数,2015/5/15,2.0841,2.1617
164809,工银中证500指数,2015/5/14,2.1005,2.1781
164809,工银中证500指数,2015/5/13,2.103,2.1806
164809,工银中证500指数,2015/5/12,2.0849,2.1625
164809,工银中证500指数,2015/5/11,2.0422,2.1198
164809,工银中证500指数,2015/5/08,1.9623,2.0399
164809,工银中证500指数,2015/5/07,1.8943,1.9719
164809,工银中证500指数,2015/5/06,1.9354,2.013
164809,工银中证500指数,2015/5/05,1.9616,2.0392
164809,工银中证500指数,2015/5/04,2.0321,2.1097
164809,工银中证500指数,2015/4/30,2.023,2.1006
164809,工银中证500指数,2015/4/29,2.014,2.0916
164809,工银中证500指数,2015/4/28,1.9781,2.0557
164809,工银中证500指数,2015/4/27,2.0372,2.1148
164809,工银中证500指数,2015/4/24,2.0168,2.0944
164809,工银中证500指数,2015/4/23,2.0156,2.0932
164809,工银中证500指数,2015/4/22,1.9962,2.0738
164809,工银中证500指数,2015/4/21,1.9486,2.0262
164809,工银中证500指数,2015/4/20,1.8869,1.9645
164809,工银中证500指数,2015/4/17,1.922,1.9996
164809,工银中证500指数,2015/4/16,1.9074,1.985
164809,工银中证500指数,2015/4/15,1.8835,1.9611
164809,工银中证500指数,2015/4/14,1.9529,2.0305
164809,工银中证500指数,2015/4/13,1.9541,2.0317
164809,工银中证500指数,2015/4/10,1.9152,1.9928
164809,工银中证500指数,2015/4/09,1.8677,1.9453
164809,工银中证500指数,2015/4/08,1.8816,1.9592
164809,工银中证500指数,2015/4/07,1.8948,1.9724
164809,工银中证500指数,2015/4/03,1.8523,1.9299
164809,工银中证500指数,2015/4/02,1.8249,1.9025
164809,工银中证500指数,2015/4/01,1.794,1.8716
164809,工银中证500指数,2015/3/31,1.7544,1.832
164809,工银中证500指数,2015/3/30,1.7522,1.8298
164809,工银中证500指数,2015/3/27,1.7326,1.8102
164809,工银中证500指数,2015/3/26,1.7138,1.7914
164809,工银中证500指数,2015/3/25,1.7267,1.8043
164809,工银中证500指数,2015/3/24,1.7081,1.7857
164809,工银中证500指数,2015/3/23,1.7001,1.7777
164809,工银中证500指数,2015/3/20,1.6604,1.738
164809,工银中证500指数,2015/3/19,1.6437,1.7213
164809,工银中证500指数,2015/3/18,1.6308,1.7084
164809,工银中证500指数,2015/3/17,1.6064,1.684
164809,工银中证500指数,2015/3/16,1.5833,1.6609
164809,工银中证500指数,2015/3/13,1.5396,1.6172
164809,工银中证500指数,2015/3/12,1.523,1.6006
164809,工银中证500指数,2015/3/11,1.5239,1.6015
164809,工银中证500指数,2015/3/10,1.5271,1.6047
164809,工银中证500指数,2015/3/09,1.5119,1.5895
164809,工银中证500指数,2015/3/06,1.4935,1.5711
164809,工银中证500指数,2015/3/05,1.5116,1.5892
164809,工银中证500指数,2015/3/04,1.5122,1.5898
164809,工银中证500指数,2015/3/03,1.4904,1.568
164809,工银中证500指数,2015/3/02,1.4958,1.5734
164809,工银中证500指数,2015/2/27,1.4675,1.5451
164809,工银中证500指数,2015/2/26,1.4558,1.5334
164809,工银中证500指数,2015/2/25,1.4412,1.5188
164809,工银中证500指数,2015/2/17,1.4436,1.5212
164809,工银中证500指数,2015/2/16,1.4342,1.5118
164809,工银中证500指数,2015/2/13,1.4101,1.4877
164809,工银中证500指数,2015/2/12,1.3895,1.4671
164809,工银中证500指数,2015/2/11,1.3802,1.4578
164809,工银中证500指数,2015/2/10,1.3654,1.443
164809,工银中证500指数,2015/2/09,1.3482,1.4258
164809,工银中证500指数,2015/2/06,1.3554,1.433
164809,工银中证500指数,2015/2/05,1.3828,1.4604
164809,工银中证500指数,2015/2/04,1.3893,1.4669
164809,工银中证500指数,2015/2/03,1.3948,1.4724
164809,工银中证500指数,2015/2/02,1.372,1.4496
164809,工银中证500指数,2015/1/30,1.3777,1.4553
164809,工银中证500指数,2015/1/29,1.3937,1.4713
164809,工银中证500指数,2015/1/28,1.4026,1.4802
164809,工银中证500指数,2015/1/27,1.4099,1.4875
164809,工银中证500指数,2015/1/26,1.4061,1.4837
164809,工银中证500指数,2015/1/23,1.3769,1.4545
164809,工银中证500指数,2015/1/22,1.3899,1.4675
164809,工银中证500指数,2015/1/21,1.3722,1.4498
