fundCode,fundName,date,currentValue,totalValue
270010,广发沪深300,2015/10/27,1.583,1.873
270010,广发沪深300,2015/10/26,1.581,1.871
270010,广发沪深300,2015/10/23,1.573,1.863
270010,广发沪深300,2015/10/22,1.549,1.839
270010,广发沪深300,2015/10/21,1.526,1.816
270010,广发沪深300,2015/10/20,1.574,1.864
270010,广发沪深300,2015/10/19,1.554,1.844
270010,广发沪深300,2015/10/16,1.554,1.844
270010,广发沪深300,2015/10/15,1.533,1.823
270010,广发沪深300,2015/10/14,1.497,1.787
270010,广发沪深300,2015/10/13,1.515,1.805
270010,广发沪深300,2015/10/12,1.516,1.806
270010,广发沪深300,2015/10/9,1.467,1.757
270010,广发沪深300,2015/10/8,1.448,1.738
270010,广发沪深300,2015/9/30,1.407,1.697
270010,广发沪深300,2015/9/29,1.396,1.686
270010,广发沪深300,2015/9/28,1.424,1.714
270010,广发沪深300,2015/9/25,1.418,1.708
270010,广发沪深300,2015/9/24,1.442,1.732
270010,广发沪深300,2015/9/23,1.431,1.721
270010,广发沪深300,2015/9/22,1.463,1.753
270010,广发沪深300,2015/9/21,1.449,1.739
270010,广发沪深300,2015/9/18,1.421,1.711
270010,广发沪深300,2015/9/17,1.412,1.702
270010,广发沪深300,2015/9/16,1.444,1.734
270010,广发沪深300,2015/9/15,1.372,1.662
270010,广发沪深300,2015/9/14,1.433,1.723
270010,广发沪深300,2015/9/11,1.465,1.755
270010,广发沪深300,2015/9/10,1.469,1.759
270010,广发沪深300,2015/9/09,1.488,1.778
270010,广发沪深300,2015/9/08,1.457,1.747
270010,广发沪深300,2015/9/07,1.416,1.706
270010,广发沪深300,2015/9/02,1.464,1.754
270010,广发沪深300,2015/9/01,1.465,1.755
270010,广发沪深300,2015/8/31,1.472,1.762
270010,广发沪深300,2015/8/28,1.463,1.753
270010,广发沪深300,2015/8/27,1.4,1.69
270010,广发沪深300,2015/8/26,1.318,1.608
270010,广发沪深300,2015/8/25,1.331,1.621
270010,广发沪深300,2015/8/24,1.441,1.731
270010,广发沪深300,2015/8/21,1.585,1.875
270010,广发沪深300,2015/8/20,1.664,1.954
270010,广发沪深300,2015/8/19,1.721,2.011
270010,广发沪深300,2015/8/18,1.693,1.983
270010,广发沪深300,2015/8/17,1.809,2.099
270010,广发沪深300,2015/8/14,1.807,2.097
270010,广发沪深300,2015/8/13,1.806,2.096
270010,广发沪深300,2015/8/12,1.779,2.069
270010,广发沪深300,2015/8/11,1.802,2.092
270010,广发沪深300,2015/8/10,1.809,2.099
270010,广发沪深300,2015/8/07,1.728,2.018
270010,广发沪深300,2015/8/06,1.693,1.983
270010,广发沪深300,2015/8/05,1.709,1.999
270010,广发沪深300,2015/8/04,1.744,2.034
270010,广发沪深300,2015/8/03,1.69,1.98
270010,广发沪深300,2015/7/31,1.686,1.976
270010,广发沪深300,2015/7/30,1.686,1.976
270010,广发沪深300,2015/7/29,1.738,2.028
270010,广发沪深300,2015/7/28,1.683,1.973
270010,广发沪深300,2015/7/27,1.687,1.977
270010,广发沪深300,2015/7/24,1.851,2.141
270010,广发沪深300,2015/7/23,1.884,2.174
270010,广发沪深300,2015/7/22,1.841,2.131
270010,广发沪深300,2015/7/21,1.844,2.134
270010,广发沪深300,2015/7/20,1.839,2.129
270010,广发沪深300,2015/7/17,1.833,2.123
270010,广发沪深300,2015/7/16,1.757,2.047
270010,广发沪深300,2015/7/15,1.743,2.033
270010,广发沪深300,2015/7/14,1.813,2.103
270010,广发沪深300,2015/7/13,1.858,2.148
270010,广发沪深300,2015/7/10,1.81,2.1
270010,广发沪深300,2015/7/09,1.72,2.01
270010,广发沪深300,2015/7/08,1.614,1.904
270010,广发沪深300,2015/7/07,1.72,2.01
270010,广发沪深300,2015/7/06,1.751,2.041
270010,广发沪深300,2015/7/03,1.703,1.993
270010,广发沪深300,2015/7/02,1.803,2.093
270010,广发沪深300,2015/7/01,1.874,2.164
270010,广发沪深300,2015/6/30,1.967,2.257
270010,广发沪深300,2015/6/29,1.846,2.136
270010,广发沪深300,2015/6/26,1.909,2.199
270010,广发沪深300,2015/6/25,2.065,2.355
270010,广发沪深300,2015/6/24,2.14,2.43
270010,广发沪深300,2015/6/23,2.1,2.39
270010,广发沪深300,2015/6/19,2.035,2.325
270010,广发沪深300,2015/6/18,2.155,2.445
270010,广发沪深300,2015/6/17,2.245,2.535
270010,广发沪深300,2015/6/16,2.213,2.503
270010,广发沪深300,2015/6/15,2.283,2.573
270010,广发沪深300,2015/6/12,2.334,2.624
270010,广发沪深300,2015/6/11,2.323,2.613
270010,广发沪深300,2015/6/10,2.324,2.614
270010,广发沪深300,2015/6/09,2.33,2.62
270010,广发沪深300,2015/6/08,2.363,2.653
270010,广发沪深300,2015/6/05,2.319,2.609
270010,广发沪深300,2015/6/04,2.296,2.586
270010,广发沪深300,2015/6/03,2.281,2.571
270010,广发沪深300,2015/6/02,2.289,2.579
270010,广发沪深300,2015/6/01,2.249,2.539
270010,广发沪深300,2015/5/29,2.141,2.431
270010,广发沪深300,2015/5/28,2.136,2.426
270010,广发沪深300,2015/5/27,2.295,2.585
270010,广发沪深300,2015/5/26,2.301,2.591
270010,广发沪深300,2015/5/25,2.245,2.535
270010,广发沪深300,2015/5/22,2.178,2.468
270010,广发沪深300,2015/5/21,2.127,2.417
270010,广发沪深300,2015/5/20,2.083,2.373
270010,广发沪深300,2015/5/19,2.071,2.361
270010,广发沪深300,2015/5/18,2.002,2.292
270010,广发沪深300,2015/5/15,2.021,2.311
270010,广发沪深300,2015/5/14,2.058,2.348
