fund_code,fund_name,date,current_value,total_value
040001,华安创新股票,2015/10/23,0.815,3.99
040001,华安创新股票,2015/10/22,0.796,3.909
040001,华安创新股票,2015/10/21,0.775,3.818
040001,华安创新股票,2015/10/20,0.818,4.003
040001,华安创新股票,2015/10/19,0.806,3.952
040001,华安创新股票,2015/10/16,0.808,3.96
040001,华安创新股票,2015/10/15,0.801,3.93
040001,华安创新股票,2015/10/14,0.783,3.853
040001,华安创新股票,2015/10/13,0.792,3.891
040001,华安创新股票,2015/10/12,0.783,3.853
040001,华安创新股票,2015/10/9,0.759,3.75
040001,华安创新股票,2015/10/8,0.75,3.711
040001,华安创新股票,2015/9/30,0.73,3.625
040001,华安创新股票,2015/9/29,0.73,3.625
040001,华安创新股票,2015/9/28,0.736,3.651
040001,华安创新股票,2015/9/25,0.727,3.612
040001,华安创新股票,2015/9/24,0.74,3.668
040001,华安创新股票,2015/9/23,0.735,3.646
040001,华安创新股票,2015/9/22,0.744,3.685
040001,华安创新股票,2015/9/21,0.74,3.668
040001,华安创新股票,2015/9/18,0.72,3.582
040001,华安创新股票,2015/9/17,0.711,3.543
040001,华安创新股票,2015/9/16,0.72,3.582
040001,华安创新股票,2015/9/15,0.691,3.457
040001,华安创新股票,2015/9/14,0.713,3.552
040001,华安创新股票,2015/9/11,0.748,3.702
040001,华安创新股票,2015/9/10,0.746,3.694
040001,华安创新股票,2015/9/09,0.753,3.724
040001,华安创新股票,2015/9/08,0.738,3.659
040001,华安创新股票,2015/9/07,0.715,3.56
040001,华安创新股票,2015/9/02,0.714,3.556
040001,华安创新股票,2015/9/01,0.719,3.578
040001,华安创新股票,2015/8/31,0.75,3.711
040001,华安创新股票,2015/8/28,0.768,3.788
040001,华安创新股票,2015/8/27,0.74,3.668
040001,华安创新股票,2015/8/26,0.719,3.578
040001,华安创新股票,2015/8/25,0.726,3.608
040001,华安创新股票,2015/8/24,0.761,3.758
040001,华安创新股票,2015/8/21,0.803,3.939
040001,华安创新股票,2015/8/20,0.835,4.076
040001,华安创新股票,2015/8/19,0.853,4.153
040001,华安创新股票,2015/8/18,0.845,4.119
040001,华安创新股票,2015/8/17,0.898,4.347
040001,华安创新股票,2015/8/14,0.886,4.295
040001,华安创新股票,2015/8/13,0.879,4.265
040001,华安创新股票,2015/8/12,0.86,4.184
040001,华安创新股票,2015/8/11,0.869,4.222
040001,华安创新股票,2015/8/10,0.865,4.205
040001,华安创新股票,2015/8/07,0.828,4.046
040001,华安创新股票,2015/8/06,0.805,3.947
040001,华安创新股票,2015/8/05,0.806,3.952
040001,华安创新股票,2015/8/04,0.811,3.973
040001,华安创新股票,2015/8/03,0.785,3.861
040001,华安创新股票,2015/7/31,0.809,3.964
040001,华安创新股票,2015/7/30,0.827,4.042
040001,华安创新股票,2015/7/29,0.846,4.123
040001,华安创新股票,2015/7/28,0.819,4.007
040001,华安创新股票,2015/7/27,0.842,4.106
040001,华安创新股票,2015/7/24,0.896,4.338
040001,华安创新股票,2015/7/23,0.912,4.407
040001,华安创新股票,2015/7/22,0.887,4.3
040001,华安创新股票,2015/7/21,0.879,4.265
040001,华安创新股票,2015/7/20,0.862,4.192
040001,华安创新股票,2015/7/17,0.842,4.106
040001,华安创新股票,2015/7/16,0.808,3.96
040001,华安创新股票,2015/7/15,0.794,3.9
040001,华安创新股票,2015/7/14,0.825,4.033
040001,华安创新股票,2015/7/13,0.817,3.999
040001,华安创新股票,2015/7/10,0.782,3.848
040001,华安创新股票,2015/7/09,0.759,3.75
040001,华安创新股票,2015/7/08,0.74,3.668
040001,华安创新股票,2015/7/07,0.775,3.818
040001,华安创新股票,2015/7/06,0.809,3.964
040001,华安创新股票,2015/7/03,0.825,4.033
040001,华安创新股票,2015/7/02,0.858,4.175
040001,华安创新股票,2015/7/01,0.902,4.364
040001,华安创新股票,2015/6/30,0.932,4.493
040001,华安创新股票,2015/6/29,0.895,4.334
040001,华安创新股票,2015/6/26,0.919,4.437
040001,华安创新股票,2015/6/25,0.976,4.682
040001,华安创新股票,2015/6/24,0.999,4.781
040001,华安创新股票,2015/6/23,0.985,4.721
040001,华安创新股票,2015/6/19,0.969,4.652
040001,华安创新股票,2015/6/18,1.016,4.854
040001,华安创新股票,2015/6/17,1.044,4.974
040001,华安创新股票,2015/6/16,1.034,4.931
040001,华安创新股票,2015/6/15,1.063,5.056
040001,华安创新股票,2015/6/12,1.06,5.043
040001,华安创新股票,2015/6/11,1.047,4.987
040001,华安创新股票,2015/6/10,1.041,4.961
040001,华安创新股票,2015/6/09,1.022,4.88
040001,华安创新股票,2015/6/08,1.029,4.91
040001,华安创新股票,2015/6/05,1.021,4.875
040001,华安创新股票,2015/6/04,1.011,4.832
040001,华安创新股票,2015/6/03,1.011,4.832
040001,华安创新股票,2015/6/02,1.012,4.837
040001,华安创新股票,2015/6/01,0.996,4.768
040001,华安创新股票,2015/5/29,0.959,4.609
040001,华安创新股票,2015/5/28,0.955,4.592
040001,华安创新股票,2015/5/27,0.996,4.768
040001,华安创新股票,2015/5/26,0.981,4.704
040001,华安创新股票,2015/5/25,0.965,4.635
040001,华安创新股票,2015/5/22,0.946,4.553
040001,华安创新股票,2015/5/21,0.931,4.489
040001,华安创新股票,2015/5/20,0.916,4.424
040001,华安创新股票,2015/5/19,0.911,4.403
040001,华安创新股票,2015/5/18,0.893,4.325
040001,华安创新股票,2015/5/15,0.895,4.334
040001,华安创新股票,2015/5/14,0.905,4.377
040001,华安创新股票,2015/5/13,0.909,4.394
040001,华安创新股票,2015/5/12,0.909,4.394
040001,华安创新股票,2015/5/11,0.905,4.377
040001,华安创新股票,2015/5/08,0.884,4.287
040001,华安创新股票,2015/5/07,0.87,4.227
040001,华安创新股票,2015/5/06,0.875,4.248
040001,华安创新股票,2015/5/05,0.886,4.295
040001,华安创新股票,2015/5/04,0.916,4.424
040001,华安创新股票,2015/4/30,0.913,4.411
040001,华安创新股票,2015/4/29,0.917,4.429
040001,华安创新股票,2015/4/28,0.913,4.411
040001,华安创新股票,2015/4/27,0.923,4.454
040001,华安创新股票,2015/4/24,0.907,4.386
040001,华安创新股票,2015/4/23,0.916,4.424
040001,华安创新股票,2015/4/22,0.916,4.424
040001,华安创新股票,2015/4/21,0.903,4.368
040001,华安创新股票,2015/4/20,0.889,4.308
040001,华安创新股票,2015/4/17,0.897,4.343
040001,华安创新股票,2015/4/16,0.886,4.295
040001,华安创新股票,2015/4/15,0.87,4.227
040001,华安创新股票,2015/4/14,0.887,4.3
040001,华安创新股票,2015/4/13,0.884,4.287
040001,华安创新股票,2015/4/10,0.871,4.231
040001,华安创新股票,2015/4/09,0.855,4.162
040001,华安创新股票,2015/4/08,0.862,4.192
040001,华安创新股票,2015/4/07,0.856,4.166
040001,华安创新股票,2015/4/03,0.839,4.093
040001,华安创新股票,2015/4/02,0.833,4.068
040001,华安创新股票,2015/4/01,0.825,4.033
040001,华安创新股票,2015/3/31,0.813,3.982
040001,华安创新股票,2015/3/30,0.819,4.007
040001,华安创新股票,2015/3/27,0.804,3.943
040001,华安创新股票,2015/3/26,0.8,3.926
040001,华安创新股票,2015/3/25,0.811,3.93
040001,华安创新股票,2015/3/24,0.809,3.921
040001,华安创新股票,2015/3/23,0.805,3.904
040001,华安创新股票,2015/3/20,0.789,3.835
040001,华安创新股票,2015/3/19,0.79,3.84
040001,华安创新股票,2015/3/18,0.789,3.835
040001,华安创新股票,2015/3/17,0.781,3.801
040001,华安创新股票,2015/3/16,0.776,3.78
040001,华安创新股票,2015/3/13,0.764,3.728
040001,华安创新股票,2015/3/12,0.76,3.711
040001,华安创新股票,2015/3/11,0.756,3.694
040001,华安创新股票,2015/3/10,0.755,3.689
040001,华安创新股票,2015/3/09,0.754,3.685
040001,华安创新股票,2015/3/06,0.745,3.646
040001,华安创新股票,2015/3/05,0.75,3.668
040001,华安创新股票,2015/3/04,0.752,3.676
040001,华安创新股票,2015/3/03,0.747,3.655
040001,华安创新股票,2015/3/02,0.754,3.685
040001,华安创新股票,2015/2/27,0.749,3.664
040001,华安创新股票,2015/2/26,0.746,3.651
040001,华安创新股票,2015/2/25,0.741,3.629
040001,华安创新股票,2015/2/17,0.738,3.616
040001,华安创新股票,2015/2/16,0.734,3.599
040001,华安创新股票,2015/2/13,0.726,3.565
040001,华安创新股票,2015/2/12,0.721,3.543
040001,华安创新股票,2015/2/11,0.718,3.53
040001,华安创新股票,2015/2/10,0.716,3.522
040001,华安创新股票,2015/2/09,0.711,3.5
040001,华安创新股票,2015/2/06,0.713,3.509
040001,华安创新股票,2015/2/05,0.721,3.543
040001,华安创新股票,2015/2/04,0.723,3.552
040001,华安创新股票,2015/2/03,0.725,3.56
040001,华安创新股票,2015/2/02,0.718,3.53
040001,华安创新股票,2015/1/30,0.721,3.543
040001,华安创新股票,2015/1/29,0.723,3.552
040001,华安创新股票,2015/1/28,0.729,3.578
040001,华安创新股票,2015/1/27,0.735,3.603
040001,华安创新股票,2015/1/26,0.734,3.599
040001,华安创新股票,2015/1/23,0.726,3.565
040001,华安创新股票,2015/1/22,0.73,3.582
040001,华安创新股票,2015/1/21,0.727,3.569
040001,华安创新股票,2015/1/20,0.714,3.513
040001,华安创新股票,2015/1/19,0.702,3.462
040001,华安创新股票,2015/1/16,0.724,3.556
040001,华安创新股票,2015/1/15,0.721,3.543
040001,华安创新股票,2015/1/14,0.714,3.513
040001,华安创新股票,2015/1/13,0.715,3.517
040001,华安创新股票,2015/1/12,0.712,3.505
040001,华安创新股票,2015/1/09,0.715,3.517
040001,华安创新股票,2015/1/08,0.717,3.526
040001,华安创新股票,2015/1/07,0.723,3.552
040001,华安创新股票,2015/1/06,0.726,3.565
