fundCategary,fundCode,fundName,date,currentValue,totalValue
股票型,270010,广发沪深300,2015/11/12,1.668,1.958
股票型,270010,广发沪深300,2015/10/15,1.533,1.823
股票型,270010,广发沪深300,2015/9/10,1.469,1.759
股票型,270010,广发沪深300,2015/8/11,1.802,2.092
股票型,270010,广发沪深300,2015/7/14,1.813,2.103
股票型,270010,广发沪深300,2015/6/15,2.283,2.573
股票型,270010,广发沪深300,2015/5/18,2.002,2.292
股票型,270010,广发沪深300,2015/4/17,2.021,2.311
股票型,270010,广发沪深300,2015/3/19,1.692,1.982
股票型,270010,广发沪深300,2015/2/12,1.523,1.813
股票型,270010,广发沪深300,2015/1/15,1.591,1.881
股票型,270010,广发沪深300,2014/12/16,1.465,1.755
股票型,270010,广发沪深300,2014/11/18,1.148,1.438
股票型,270010,广发沪深300,2014/10/21,1.101,1.391
股票型,270010,广发沪深300,2014/9/16,1.084,1.374
股票型,270010,广发沪深300,2014/8/18,1.079,1.369
股票型,270010,广发沪深300,2014/7/21,0.986,1.276
股票型,270010,广发沪深300,2014/6/23,0.96,1.25
股票型,270010,广发沪深300,2014/5/23,0.961,1.251
股票型,270010,广发沪深300,2014/4/23,0.978,1.268
股票型,270010,广发沪深300,2014/3/25,0.971,1.261
股票型,270010,广发沪深300,2014/2/25,0.964,1.254
股票型,270010,广发沪深300,2014/1/21,0.979,1.269
股票型,270010,广发沪深300,2013/12/23,1.02,1.31
股票型,270010,广发沪深300,2013/11/25,1.063,1.353
股票型,270010,广发沪深300,2013/10/28,1.053,1.343
股票型,270010,广发沪深300,2013/9/23,1.099,1.389
股票型,270010,广发沪深300,2013/8/22,1.026,1.316
股票型,270010,广发沪深300,2013/7/25,0.998,1.288
股票型,270010,广发沪深300,2013/6/28,0.979,1.269
股票型,270010,广发沪深300,2013/5/28,1.155,1.445
股票型,270010,广发沪深300,2013/4/25,1.08,1.37
股票型,270010,广发沪深300,2013/3/26,1.128,1.418
股票型,270010,广发沪深300,2013/2/26,1.125,1.415
股票型,270010,广发沪深300,2013/1/22,1.139,1.429
股票型,270010,广发沪深300,2012/12/20,1.049,1.339
股票型,270010,广发沪深300,2012/11/22,0.963,1.253
股票型,270010,广发沪深300,2012/10/25,1.01,1.3
股票型,270010,广发沪深300,2012/9/21,0.972,1.262
股票型,270010,广发沪深300,2012/8/24,1.004,1.294
股票型,270010,广发沪深300,2012/7/27,1.033,1.323
股票型,270010,广发沪深300,2012/6/30,1.076,1.366
股票型,270010,广发沪深300,2012/6/01,1.138,1.428
股票型,270010,广发沪深300,2012/5/04,1.166,1.456
股票型,270010,广发沪深300,2012/3/31,1.061,1.351
股票型,270010,广发沪深300,2012/3/05,1.147,1.437
股票型,270010,广发沪深300,2012/2/06,1.084,1.374
股票型,270010,广发沪深300,2011/12/30,1.02,1.31
股票型,270010,广发沪深300,2011/12/02,1.105,1.395
股票型,270010,广发沪深300,2011/11/04,1.186,1.476
股票型,270010,广发沪深300,2011/9/30,1.115,1.405
股票型,270010,广发沪深300,2011/9/01,1.216,1.506
股票型,270010,广发沪深300,2011/8/04,1.265,1.555
股票型,270010,广发沪深300,2011/7/07,1.319,1.609
股票型,270010,广发沪深300,2011/6/09,1.253,1.543
股票型,270010,广发沪深300,2011/5/11,1.328,1.618
股票型,270010,广发沪深300,2011/4/12,1.401,1.691
股票型,270010,广发沪深300,2011/3/11,1.372,1.662
股票型,270010,广发沪深300,2011/2/11,1.322,1.612
股票型,270010,广发沪深300,2011/1/07,1.339,1.629
股票型,270010,广发沪深300,2010/12/09,1.325,1.615
股票型,270010,广发沪深300,2010/11/11,1.648,1.788
股票型,270010,广发沪深300,2010/10/14,1.521,1.661
股票型,270010,广发沪深300,2010/9/06,1.41,1.55
股票型,270010,广发沪深300,2010/8/09,1.387,1.527
股票型,270010,广发沪深300,2010/7/12,1.276,1.416
股票型,270010,广发沪深300,2010/6/09,1.321,1.461
股票型,270010,广发沪深300,2010/5/12,1.338,1.478
股票型,270010,广发沪深300,2010/4/13,1.594,1.734
