fund_code,fund_name,current_value,total_value
fund_code,fund_name,current_value,total_value
fund_code,fund_name,current_value,total_value
fund_code,fund_name,current_value,total_value
fund_code,fund_name,current_value,total_value
165508,信诚深度价值混合(LOF),1.7620,1.7620
165511,信诚中证500指数,1.2740,1.7910
165512,信诚新机遇混合(LOF),2.0730,2.0730
165316,建信有色金属分级,1.0016,1.0016
165315,建信网金融分级,1.0371,1.0371
165310,建信双利分级,1.3020,1.3980
165312,建信央视财经50指数分级,1.2973,1.3635
165313,建信优势动力混合(LOF),1.3500,1.3500
165515,信诚沪深300指数分级,0.7660,1.3910
165516,信诚周期轮动混合(LOF),2.4180,2.4180
165707,诺德深证300指数分级,1.1540,1.9200
165806,东吴深证100指数增强(LOF),1.2200,1.2200
166001,中欧新趋势混合(LOF)A,1.4002,1.6602
165526,信诚新旺混合(LOF),1.0060,1.0060
165525,信诚中证基建工程指数分级,0.9990,0.9990
165522,信诚中证TMT产业主题指数分级,0.9760,1.5950
165523,信诚中证信息安全指数分级,1.1380,0.7110
165309,建信沪深300指数(LOF),1.0482,1.0482
164908,交银中证环境治理指数分级,1.0960,1.0960
163503,天治核心成长混合(LOF),0.8421,2.6687
163808,中银中证100指数增强,0.9940,1.0040
163821,中银沪深300等权重指数(LOF),1.5870,1.5870
163415,兴全商业模式优选混合(LOF),1.5230,1.9990
163412,兴全轻资产混合(LOF),2.3290,3.3930
163407,兴全沪深300指数(LOF),1.3106,1.3106
163409,兴全绿色投资混合(LOF),2.2460,2.2460
164304,新华中证环保产业指数分级,1.2350,1.2900
164402,前海开源中航军工指数分级,1.1880,1.1880
164818,工银中证传媒指数分级,1.0183,0.6159
164905,交银国证新能源指数分级,1.2510,0.8460
164907,交银中证互联网金融指数分级,0.8660,0.8660
164811,工银深证100指数分级,1.3064,1.3930
164809,工银中证500指数,1.5182,1.5958
164403,前海开源农业分级,0.9940,0.9940
164508,国富中证100指数增强分级,0.8510,0.8510
166006,中欧行业成长混合(LOF)A,1.1657,1.2157
166007,中欧沪深300指数增强(LOF)A,1.2300,1.2750
217001,招商安泰混合,0.5810,3.6750
217016,招商深证100指数,1.1270,1.1270
217017,招商上证消费80ETF联接,1.2930,1.2930
fund_code,fund_name,current_value,total_value
165508,信诚深度价值混合(LOF),1.7620,1.7620
165511,信诚中证500指数,1.2740,1.7910
165512,信诚新机遇混合(LOF),2.0730,2.0730
165316,建信有色金属分级,1.0016,1.0016
165315,建信网金融分级,1.0371,1.0371
165310,建信双利分级,1.3020,1.3980
165312,建信央视财经50指数分级,1.2973,1.3635
165313,建信优势动力混合(LOF),1.3500,1.3500
165515,信诚沪深300指数分级,0.7660,1.3910
165516,信诚周期轮动混合(LOF),2.4180,2.4180
165707,诺德深证300指数分级,1.1540,1.9200
165806,东吴深证100指数增强(LOF),1.2200,1.2200
166001,中欧新趋势混合(LOF)A,1.4002,1.6602
165526,信诚新旺混合(LOF),1.0060,1.0060
165525,信诚中证基建工程指数分级,0.9990,0.9990
165522,信诚中证TMT产业主题指数分级,0.9760,1.5950
