fundCode,fundName,date,currentValue,totalValue,xPosition,yPosition
270010,广发沪深300,2015/10/30,1.557,1.847,493,407
270010,广发沪深300,2015/9/25,1.418,1.708,490,415
270010,广发沪深300,2015/8/26,1.318,1.608,488,420
270010,广发沪深300,2015/7/29,1.738,2.028,482,400
270010,广发沪深300,2015/7/01,1.874,2.164,477,394
270010,广发沪深300,2015/6/02,2.289,2.579,468,374
270010,广发沪深300,2015/5/05,2.014,2.304,468,389
270010,广发沪深300,2015/4/03,1.836,2.126,467,398
270010,广发沪深300,2015/3/06,1.534,1.824,469,414
270010,广发沪深300,2015/1/30,1.52,1.81,466,416
270010,广发沪深300,2014/12/31,1.565,1.855,462,415
270010,广发沪深300,2014/12/03,1.329,1.619,464,427
270010,广发沪深300,2014/11/05,1.132,1.422,466,437
270010,广发沪深300,2014/10/08,1.121,1.411,465,438
270010,广发沪深300,2014/9/02,1.083,1.373,463,441
270010,广发沪深300,2014/8/05,1.076,1.366,462,443
270010,广发沪深300,2014/7/08,0.984,1.274,462,448
270010,广发沪深300,2014/6/10,0.968,1.258,461,450
270010,广发沪深300,2014/5/12,0.973,1.263,459,451
270010,广发沪深300,2014/4/10,1.012,1.302,456,451
270010,广发沪深300,2014/3/12,0.946,1.236,457,455
270010,广发沪深300,2014/2/12,1.022,1.312,453,453
270010,广发沪深300,2014/1/08,1.002,1.292,452,456
270010,广发沪深300,2013/12/10,1.091,1.381,447,455
270010,广发沪深300,2013/11/12,1.041,1.331,448,458
270010,广发沪深300,2013/10/15,1.095,1.385,444,458
270010,广发沪深300,2013/9/06,1.049,1.339,444,462
270010,广发沪深300,2013/8/09,1.018,1.308,444,464
270010,广发沪深300,2013/7/12,1.015,1.305,443,466
270010,广发沪深300,2013/6/17,1.061,1.351,440,467
270010,广发沪深300,2013/5/15,1.096,1.386,438,468
270010,广发沪深300,2013/4/12,1.077,1.367,437,471
270010,广发沪深300,2013/3/13,1.108,1.398,435,472
270010,广发沪深300,2013/2/06,1.214,1.504,429,473
270010,广发沪深300,2013/1/09,1.109,1.399,433,477
270010,广发沪深300,2012/12/07,0.993,1.283,438,481
270010,广发沪深300,2012/11/09,0.989,1.279,438,483
270010,广发沪深300,2012/10/12,1.016,1.306,436,485
270010,广发沪深300,2012/9/10,1.027,1.317,435,487
270010,广发沪深300,2012/8/13,1.036,1.326,434,489
270010,广发沪深300,2012/7/16,1.054,1.344,433,491
270010,广发沪深300,2012/6/18,1.121,1.411,429,493
270010,广发沪深300,2012/5/21,1.117,1.407,429,495
270010,广发沪深300,2012/4/19,1.118,1.408,429,498
270010,广发沪深300,2012/3/20,1.112,1.402,429,500
270010,广发沪深300,2012/2/21,1.106,1.396,430,503
270010,广发沪深300,2012/1/17,1.066,1.356,432,505
270010,广发沪深300,2011/12/19,1.037,1.327,434,507
270010,广发沪深300,2011/11/21,1.122,1.412,430,510
270010,广发沪深300,2011/10/24,1.112,1.402,431,512
270010,广发沪深300,2011/9/19,1.156,1.446,429,516
270010,广发沪深300,2011/8/19,1.206,1.496,427,519
270010,广发沪深300,2011/7/22,1.307,1.597,423,522
270010,广发沪深300,2011/6/24,1.29,1.58,425,525
270010,广发沪深300,2011/5/26,1.262,1.552,427,527
270010,广发沪深300,2011/4/27,1.354,1.644,423,531
270010,广发沪深300,2011/3/28,1.387,1.677,423,534
270010,广发沪深300,2011/2/28,1.37,1.66,425,536
270010,广发沪深300,2011/1/24,1.256,1.546,432,536
270010,广发沪深300,2010/12/24,1.339,1.629,429,541
270010,广发沪深300,2010/11/26,1.505,1.645,430,543
270010,广发沪深300,2010/10/29,1.593,1.733,428,548
270010,广发沪深300,2010/9/21,1.357,1.497,439,544
270010,广发沪深300,2010/8/24,1.383,1.523,440,547
270010,广发沪深300,2010/7/27,1.332,1.472,443,547
270010,广发沪深300,2010/6/29,1.237,1.377,448,546
270010,广发沪深300,2010/5/27,1.356,1.496,446,552
270010,广发沪深300,2010/4/28,1.456,1.596,444,557
270010,广发沪深300,2010/3/30,1.584,1.724,442,564
270010,广发沪深300,2010/3/02,1.56,1.7,445,565
270010,广发沪深300,2010/1/26,1.531,1.671,448,566
270010,广发沪深300,2009/12/28,1.633,1.773,448,571
270010,广发沪深300,2009/11/30,1.65,1.79,450,574
270010,广发沪深300,2009/11/02,1.597,1.737,453,573
270010,广发沪深300,2009/9/25,1.453,1.593,460,569
270010,广发沪深300,2009/8/28,1.544,1.584,463,570
270010,广发沪深300,2009/7/31,1.88,1.92,458,586
270010,广发沪深300,2009/7/03,1.684,1.724,464,578
270010,广发沪深300,2009/6/05,1.496,1.536,470,571
270010,广发沪深300,2009/5/06,1.411,1.451,474,568
270010,广发沪深300,2009/4/07,1.356,1.356,478,564
270010,广发沪深300,2009/3/09,1.172,1.172,483,556
270010,广发沪深300,2009/2/09,1.211,1.211,484,558
270026,广发中小板300联接,2015/10/30,1.2982,1.2982,495,435
270026,广发中小板300联接,2015/9/25,1.1016,1.1016,493,445
270026,广发中小板300联接,2015/8/26,1.0867,1.0867,492,446
270026,广发中小板300联接,2015/7/29,1.398,1.398,487,431
270026,广发中小板300联接,2015/7/01,1.5709,1.5709,483,423
270026,广发中小板300联接,2015/6/02,2.1152,2.1152,474,397
270026,广发中小板300联接,2015/5/05,1.5352,1.5352,479,426
270026,广发中小板300联接,2015/4/03,1.5052,1.5052,476,428
270026,广发中小板300联接,2015/3/06,1.192,1.192,479,443
270026,广发中小板300联接,2015/1/30,1.0875,1.0875,479,449
270026,广发中小板300联接,2014/12/31,0.9925,0.9925,479,454
270026,广发中小板300联接,2014/12/03,1.05,1.05,477,452
270026,广发中小板300联接,2014/11/05,1.0265,1.0265,476,454
270026,广发中小板300联接,2014/10/08,1.0458,1.0458,474,454
270026,广发中小板300联接,2014/9/02,0.9789,0.9789,474,458
270026,广发中小板300联接,2014/8/05,0.9159,0.9159,474,461
270026,广发中小板300联接,2014/7/08,0.8864,0.8864,474,463
270026,广发中小板300联接,2014/6/10,0.8477,0.8477,474,466
270026,广发中小板300联接,2014/5/12,0.831,0.831,473,467
270026,广发中小板300联接,2014/4/10,0.8739,0.8739,471,467
270026,广发中小板300联接,2014/3/12,0.8596,0.8596,470,468
270026,广发中小板300联接,2014/2/12,0.9394,0.9394,466,466
270026,广发中小板300联接,2014/1/08,0.875,0.875,467,470
270026,广发中小板300联接,2013/12/10,0.8773,0.8773,466,471
270026,广发中小板300联接,2013/11/12,0.8359,0.8359,467,473
270026,广发中小板300联接,2013/10/15,0.9092,0.9092,463,472
270026,广发中小板300联接,2013/9/06,0.8555,0.8555,464,475
270026,广发中小板300联接,2013/8/09,0.8443,0.8443,464,477
270026,广发中小板300联接,2013/7/12,0.7917,0.7917,465,479
270026,广发中小板300联接,2013/6/17,0.8217,0.8217,464,480
270026,广发中小板300联接,2013/5/15,0.8126,0.8126,463,481
270026,广发中小板300联接,2013/4/12,0.7545,0.7545,465,484
270026,广发中小板300联接,2013/3/13,0.759,0.759,465,485
270026,广发中小板300联接,2013/2/06,0.7607,0.7607,464,486
270026,广发中小板300联接,2013/1/09,0.728,0.728,465,488
270026,广发中小板300联接,2012/12/07,0.6468,0.6468,468,490
270026,广发中小板300联接,2012/11/09,0.6871,0.6871,466,491
270026,广发中小板300联接,2012/10/12,0.7271,0.7271,464,491
270026,广发中小板300联接,2012/9/10,0.7539,0.7539,462,493
270026,广发中小板300联接,2012/8/13,0.7393,0.7393,463,494
270026,广发中小板300联接,2012/7/16,0.7344,0.7344,463,495
270026,广发中小板300联接,2012/6/18,0.7925,0.7925,460,496
270026,广发中小板300联接,2012/5/21,0.7764,0.7764,461,497
270026,广发中小板300联接,2012/4/19,0.7942,0.7942,460,499
270026,广发中小板300联接,2012/3/20,0.8145,0.8145,459,500
270026,广发中小板300联接,2012/2/21,0.7839,0.7839,460,501
270026,广发中小板300联接,2012/1/17,0.7161,0.7161,464,503
270026,广发中小板300联接,2011/12/19,0.7699,0.7699,461,504
270026,广发中小板300联接,2011/11/21,0.8705,0.8705,456,506
270026,广发中小板300联接,2011/10/24,0.8265,0.8265,459,507
270026,广发中小板300联接,2011/9/19,0.9008,0.9008,456,509
270026,广发中小板300联接,2011/8/19,0.9568,0.9568,453,512
000311,景顺长城沪深300增强,2015/10/30,1.696,1.696,493,415
000311,景顺长城沪深300增强,2015/9/25,1.522,1.522,491,424
000311,景顺长城沪深300增强,2015/8/26,1.408,1.408,489,430
000311,景顺长城沪深300增强,2015/7/29,1.861,1.861,483,408
000311,景顺长城沪深300增强,2015/7/01,1.99,1.99,479,402
000311,景顺长城沪深300增强,2015/6/02,2.368,2.368,471,385
000311,景顺长城沪深300增强,2015/5/05,2.096,2.096,471,399
000311,景顺长城沪深300增强,2015/4/03,1.91,1.91,470,409
000311,景顺长城沪深300增强,2015/3/06,1.566,1.566,473,426
000311,景顺长城沪深300增强,2015/1/30,1.536,1.536,471,428
000311,景顺长城沪深300增强,2014/12/31,1.575,1.575,467,428
000311,景顺长城沪深300增强,2014/12/03,1.35,1.35,470,439
000311,景顺长城沪深300增强,2014/11/05,1.129,1.129,473,450
000311,景顺长城沪深300增强,2014/10/08,1.105,1.105,472,451
000311,景顺长城沪深300增强,2014/9/02,1.082,1.082,471,454
000311,景顺长城沪深300增强,2014/8/05,1.068,1.068,470,455
000311,景顺长城沪深300增强,2014/7/08,0.98,0.98,471,460
000311,景顺长城沪深300增强,2014/6/10,0.963,0.963,470,461
000311,景顺长城沪深300增强,2014/5/12,0.972,0.972,469,462
000311,景顺长城沪深300增强,2014/4/10,1.009,1.009,466,462
000311,景顺长城沪深300增强,2014/3/12,0.934,0.934,467,466
000311,景顺长城沪深300增强,2014/2/12,0.999,0.999,464,464
000311,景顺长城沪深300增强,2014/1/08,0.976,0.976,464,467
000311,景顺长城沪深300增强,2013/12/10,1.064,1.064,459,465
000311,景顺长城沪深300增强,2013/11/01,1,1,460,469
206010,鹏华深证民营联接,2015/10/30,1.4381,1.4381,494,428
206010,鹏华深证民营联接,2015/9/25,1.2452,1.2452,493,438
206010,鹏华深证民营联接,2015/8/26,1.2031,1.2031,491,440
206010,鹏华深证民营联接,2015/7/29,1.5766,1.5766,486,422
206010,鹏华深证民营联接,2015/7/01,1.6359,1.6359,482,420
206010,鹏华深证民营联接,2015/6/02,2.1511,2.1511,474,395
206010,鹏华深证民营联接,2015/5/05,1.6741,1.6741,477,419
206010,鹏华深证民营联接,2015/4/03,1.599,1.599,475,423
206010,鹏华深证民营联接,2015/3/06,1.3257,1.3257,477,437
206010,鹏华深证民营联接,2015/1/30,1.2063,1.2063,477,444
206010,鹏华深证民营联接,2014/12/31,1.1146,1.1146,477,449
206010,鹏华深证民营联接,2014/12/03,1.1195,1.1195,475,449
206010,鹏华深证民营联接,2014/11/05,1.0216,1.0216,476,454
206010,鹏华深证民营联接,2014/10/08,1.0473,1.0473,474,454
206010,鹏华深证民营联接,2014/9/02,1.0044,1.0044,473,457
206010,鹏华深证民营联接,2014/8/05,0.9544,0.9544,473,460
206010,鹏华深证民营联接,2014/7/08,0.9322,0.9322,472,462
206010,鹏华深证民营联接,2014/6/10,0.9149,0.9149,472,463
206010,鹏华深证民营联接,2014/5/12,0.8954,0.8954,471,465
206010,鹏华深证民营联接,2014/4/10,0.9467,0.9467,468,464
206010,鹏华深证民营联接,2014/3/12,0.9287,0.9287,468,466
206010,鹏华深证民营联接,2014/2/12,1.0321,1.0321,463,463
206010,鹏华深证民营联接,2014/1/08,0.9874,0.9874,463,466
206010,鹏华深证民营联接,2013/12/10,0.9952,0.9952,462,467
206010,鹏华深证民营联接,2013/11/12,0.9547,0.9547,462,470
206010,鹏华深证民营联接,2013/10/15,1.0489,1.0489,458,468
206010,鹏华深证民营联接,2013/9/06,0.9787,0.9787,459,472
206010,鹏华深证民营联接,2013/8/09,0.9662,0.9662,459,474
206010,鹏华深证民营联接,2013/7/12,0.9112,0.9112,460,476
206010,鹏华深证民营联接,2013/6/17,0.9287,0.9287,459,477
206010,鹏华深证民营联接,2013/5/15,0.9245,0.9245,458,479
206010,鹏华深证民营联接,2013/4/12,0.8474,0.8474,461,482
206010,鹏华深证民营联接,2013/3/13,0.8344,0.8344,461,483
206010,鹏华深证民营联接,2013/2/06,0.8481,0.8481,460,485
206010,鹏华深证民营联接,2013/1/09,0.7973,0.7973,462,487
206010,鹏华深证民营联接,2012/12/07,0.7113,0.7113,465,489
206010,鹏华深证民营联接,2012/11/09,0.738,0.738,464,490
206010,鹏华深证民营联接,2012/10/12,0.7725,0.7725,462,491
206010,鹏华深证民营联接,2012/9/10,0.7861,0.7861,461,492
