fundCode,fundName,date,currentValue,totalValue
161812,银华深证100分级,2015/11/13,1.071,1.21
161812,银华深证100分级,2015/10/16,0.984,1.123
161812,银华深证100分级,2015/9/11,0.909,1.048
161812,银华深证100分级,2015/8/12,1.134,1.273
161812,银华深证100分级,2015/7/15,1.076,1.215
161812,银华深证100分级,2015/6/16,1.415,1.554
161812,银华深证100分级,2015/5/19,1.291,1.43
161812,银华深证100分级,2015/4/20,1.165,1.304
161812,银华深证100分级,2015/3/20,1.058,1.197
161812,银华深证100分级,2015/2/13,0.951,1.09
161812,银华深证100分级,2015/1/16,0.95,1.089
161812,银华深证100分级,2014/12/17,0.936,1.045
161812,银华深证100分级,2014/11/19,0.748,0.857
161812,银华深证100分级,2014/10/22,0.735,0.844
161812,银华深证100分级,2014/9/17,0.728,0.837
161812,银华深证100分级,2014/8/19,0.727,0.836
161812,银华深证100分级,2014/7/22,0.67,0.779
161812,银华深证100分级,2014/6/24,0.656,0.765
161812,银华深证100分级,2014/5/26,0.653,0.762
161812,银华深证100分级,2014/4/24,0.659,0.768
161812,银华深证100分级,2014/3/26,0.656,0.765
161812,银华深证100分级,2014/2/26,0.666,0.775
161812,银华深证100分级,2014/1/22,0.696,0.805
161812,银华深证100分级,2013/12/24,0.734,0.813
161812,银华深证100分级,2013/11/26,0.758,0.837
161812,银华深证100分级,2013/10/29,0.758,0.837
161812,银华深证100分级,2013/9/24,0.787,0.866
161812,银华深证100分级,2013/8/23,0.75,0.829
161812,银华深证100分级,2013/7/26,0.733,0.812
161812,银华深证100分级,2013/6/30,0.708,0.787
161812,银华深证100分级,2013/5/29,0.844,0.923
161812,银华深证100分级,2013/4/26,0.767,0.846
161812,银华深证100分级,2013/3/27,0.806,0.885
161812,银华深证100分级,2013/2/27,0.809,0.888
161812,银华深证100分级,2013/1/23,0.818,0.897
161812,银华深证100分级,2012/12/21,0.774,0.82
161812,银华深证100分级,2012/11/23,0.73,0.776
161812,银华深证100分级,2012/10/26,0.757,0.803
161812,银华深证100分级,2012/9/24,0.752,0.798
161812,银华深证100分级,2012/8/27,0.762,0.808
161812,银华深证100分级,2012/7/30,0.81,0.856
161812,银华深证100分级,2012/7/02,0.855,0.901
161812,银华深证100分级,2012/6/04,0.888,0.934
161812,银华深证100分级,2012/5/07,0.936,0.982
161812,银华深证100分级,2012/4/05,0.866,0.912
161812,银华深证100分级,2012/3/06,0.907,0.953
161812,银华深证100分级,2012/2/07,0.829,0.875
161812,银华深证100分级,2011/12/31,0.831,0.848
161812,银华深证100分级,2011/12/05,0.9,0.917
161812,银华深证100分级,2011/11/07,0.99,1.007
161812,银华深证100分级,2011/10/10,0.947,0.964
161812,银华深证100分级,2011/9/02,1.051,1.068
161812,银华深证100分级,2011/8/05,1.099,1.116
161812,银华深证100分级,2011/7/08,1.165,1.182
161812,银华深证100分级,2011/6/10,1.095,1.112
161812,银华深证100分级,2011/5/12,1.148,1.165
161812,银华深证100分级,2011/4/13,1.239,1.256
161812,银华深证100分级,2011/3/14,1.234,1.251
161812,银华深证100分级,2011/2/14,1.199,1.216
161812,银华深证100分级,2011/1/10,1.169,1.186
161812,银华深证100分级,2010/12/10,1.205,1.205
161812,银华深证100分级,2010/11/12,1.244,1.244
161812,银华深证100分级,2010/10/15,1.23,1.23
161812,银华深证100分级,2010/9/07,1.142,1.142
161812,银华深证100分级,2010/8/10,1.056,1.056
161812,银华深证100分级,2010/7/13,0.967,0.967
161812,银华深证100分级,2010/6/10,1.009,1.009
270010,广发沪深300,2015/11/13,1.647,1.937
270010,广发沪深300,2015/10/16,1.554,1.844
270010,广发沪深300,2015/9/11,1.465,1.755
270010,广发沪深300,2015/8/12,1.779,2.069
270010,广发沪深300,2015/7/15,1.743,2.033
270010,广发沪深300,2015/6/16,2.213,2.503
270010,广发沪深300,2015/5/19,2.071,2.361
270010,广发沪深300,2015/4/20,1.988,2.278
270010,广发沪深300,2015/3/20,1.715,2.005
270010,广发沪深300,2015/2/13,1.533,1.823
270010,广发沪深300,2015/1/16,1.604,1.894
270010,广发沪深300,2014/12/17,1.491,1.781
270010,广发沪深300,2014/11/19,1.146,1.436
270010,广发沪深300,2014/10/22,1.095,1.385
270010,广发沪深300,2014/9/17,1.089,1.379
270010,广发沪深300,2014/8/19,1.078,1.368
270010,广发沪深300,2014/7/22,0.998,1.288
270010,广发沪深300,2014/6/24,0.966,1.256
270010,广发沪深300,2014/5/26,0.965,1.255
270010,广发沪深300,2014/4/24,0.977,1.267
270010,广发沪深300,2014/3/26,0.969,1.259
270010,广发沪深300,2014/2/26,0.966,1.256
270010,广发沪深300,2014/1/22,1.003,1.293
270010,广发沪深300,2013/12/24,1.022,1.312
270010,广发沪深300,2013/11/26,1.063,1.353
270010,广发沪深300,2013/10/29,1.056,1.346
270010,广发沪深300,2013/9/24,1.086,1.376
270010,广发沪深300,2013/8/23,1.019,1.309
270010,广发沪深300,2013/7/26,0.992,1.282
270010,广发沪深300,2013/6/30,0.979,1.269
270010,广发沪深300,2013/5/29,1.154,1.444
270010,广发沪深300,2013/4/26,1.072,1.362
270010,广发沪深300,2013/3/27,1.132,1.422
270010,广发沪深300,2013/2/27,1.136,1.426
270010,广发沪深300,2013/1/23,1.144,1.434
270010,广发沪深300,2012/12/21,1.044,1.334
270010,广发沪深300,2012/11/23,0.97,1.26
270010,广发沪深300,2012/10/26,0.992,1.282
270010,广发沪深300,2012/9/24,0.979,1.269
270010,广发沪深300,2012/8/27,0.985,1.275
270010,广发沪深300,2012/7/30,1.028,1.318
270010,广发沪深300,2012/7/02,1.078,1.368
270010,广发沪深300,2012/6/04,1.107,1.397
270010,广发沪深300,2012/5/07,1.167,1.457
270010,广发沪深300,2012/4/05,1.084,1.374
270010,广发沪深300,2012/3/06,1.13,1.42
270010,广发沪深300,2012/2/07,1.065,1.355
270010,广发沪深300,2011/12/31,1.02,1.31
270010,广发沪深300,2011/12/05,1.091,1.381
270010,广发沪深300,2011/11/07,1.174,1.464
270010,广发沪深300,2011/10/10,1.104,1.394
270010,广发沪深300,2011/9/02,1.204,1.494
270010,广发沪深300,2011/8/05,1.24,1.53
270010,广发沪深300,2011/7/08,1.323,1.613
270010,广发沪深300,2011/6/10,1.258,1.548
270010,广发沪深300,2011/5/12,1.311,1.601
270010,广发沪深300,2011/4/13,1.419,1.709
270010,广发沪深300,2011/3/14,1.378,1.668
270010,广发沪深300,2011/2/14,1.362,1.652
270010,广发沪深300,2011/1/10,1.316,1.606
270010,广发沪深300,2010/12/10,1.34,1.63
270010,广发沪深300,2010/11/12,1.55,1.69
270010,广发沪深300,2010/10/15,1.567,1.707
270010,广发沪深300,2010/9/07,1.414,1.554
270010,广发沪深300,2010/8/10,1.348,1.488
270010,广发沪深300,2010/7/13,1.258,1.398
270010,广发沪深300,2010/6/10,1.307,1.447
270010,广发沪深300,2010/5/13,1.369,1.509
270010,广发沪深300,2010/4/14,1.6,1.74
270010,广发沪深300,2010/3/16,1.513,1.653
270010,广发沪深300,2010/2/09,1.497,1.637
270010,广发沪深300,2010/1/12,1.661,1.801
270010,广发沪深300,2009/12/14,1.694,1.834
270010,广发沪深300,2009/11/16,1.7,1.84
270010,广发沪深300,2009/10/19,1.572,1.712
270010,广发沪深300,2009/9/11,1.533,1.673
270010,广发沪深300,2009/8/14,1.695,1.735
270010,广发沪深300,2009/7/17,1.777,1.817
270010,广发沪深300,2009/6/19,1.567,1.607
270010,广发沪深300,2009/5/20,1.434,1.474
270010,广发沪深300,2009/4/21,1.361,1.401
270010,广发沪深300,2009/3/23,1.288,1.288
270010,广发沪深300,2009/2/23,1.273,1.273
270010,广发沪深300,2009/1/19,1.069,1.069
481009,工银沪深300,2015/11/13,1.3586,1.5552
481009,工银沪深300,2015/10/16,1.283,1.4791
481009,工银沪深300,2015/9/11,1.2089,1.405
481009,工银沪深300,2015/8/12,1.4526,1.6487
481009,工银沪深300,2015/7/15,1.4306,1.6256
481009,工银沪深300,2015/6/16,1.8033,1.9983
