fundCode,fundName,date,currentValue,totalValue
000051,华夏沪深300ETF联接,2015/11/13,1.154,1.154
000051,华夏沪深300ETF联接,2015/10/16,1.089,1.089
000051,华夏沪深300ETF联接,2015/9/11,1.03,1.03
000051,华夏沪深300ETF联接,2015/8/12,1.224,1.224
000051,华夏沪深300ETF联接,2015/7/15,1.2,1.2
000051,华夏沪深300ETF联接,2015/6/16,1.501,1.501
000051,华夏沪深300ETF联接,2015/5/19,1.405,1.405
000051,华夏沪深300ETF联接,2015/4/20,1.344,1.344
000051,华夏沪深300ETF联接,2015/3/20,1.164,1.164
000051,华夏沪深300ETF联接,2015/2/13,1.044,1.044
000051,华夏沪深300ETF联接,2015/1/16,1.089,1.089
000051,华夏沪深300ETF联接,2014/12/17,1.01,1.01
000051,华夏沪深300ETF联接,2014/11/19,0.781,0.781
000051,华夏沪深300ETF联接,2014/10/22,0.747,0.747
000051,华夏沪深300ETF联接,2014/9/17,0.741,0.741
000051,华夏沪深300ETF联接,2014/8/19,0.733,0.733
000051,华夏沪深300ETF联接,2014/7/22,0.678,0.678
000051,华夏沪深300ETF联接,2014/6/24,0.657,0.657
000051,华夏沪深300ETF联接,2014/5/26,0.656,0.656
000051,华夏沪深300ETF联接,2014/4/24,0.664,0.664
000051,华夏沪深300ETF联接,2014/3/26,0.658,0.658
000051,华夏沪深300ETF联接,2014/2/26,0.656,0.656
000051,华夏沪深300ETF联接,2014/1/22,0.678,0.678
000051,华夏沪深300ETF联接,2013/12/24,0.691,0.691
000051,华夏沪深300ETF联接,2013/11/26,0.719,0.719
000051,华夏沪深300ETF联接,2013/10/29,0.715,0.715
000051,华夏沪深300ETF联接,2013/9/24,0.736,0.736
000051,华夏沪深300ETF联接,2013/8/23,0.691,0.691
000051,华夏沪深300ETF联接,2013/7/26,0.671,0.671
000051,华夏沪深300ETF联接,2013/6/30,0.659,0.659
000051,华夏沪深300ETF联接,2013/5/29,0.777,0.777
000051,华夏沪深300ETF联接,2013/4/26,0.72,0.72
000051,华夏沪深300ETF联接,2013/3/27,0.757,0.757
000051,华夏沪深300ETF联接,2013/2/27,0.761,0.761
000051,华夏沪深300ETF联接,2013/1/23,0.763,0.763
000051,华夏沪深300ETF联接,2012/12/21,0.697,0.697
000051,华夏沪深300ETF联接,2012/11/23,0.646,0.646
000051,华夏沪深300ETF联接,2012/10/26,0.662,0.662
000051,华夏沪深300ETF联接,2012/9/24,0.653,0.653
000051,华夏沪深300ETF联接,2012/8/27,0.656,0.656
000051,华夏沪深300ETF联接,2012/7/30,0.685,0.685
000051,华夏沪深300ETF联接,2012/7/02,0.719,0.719
000051,华夏沪深300ETF联接,2012/6/04,0.738,0.738
000051,华夏沪深300ETF联接,2012/5/07,0.78,0.78
000051,华夏沪深300ETF联接,2012/4/05,0.723,0.723
000051,华夏沪深300ETF联接,2012/3/06,0.753,0.753
000051,华夏沪深300ETF联接,2012/2/07,0.708,0.708
000051,华夏沪深300ETF联接,2011/12/31,0.676,0.676
000051,华夏沪深300ETF联接,2011/12/05,0.725,0.725
000051,华夏沪深300ETF联接,2011/11/07,0.784,0.784
000051,华夏沪深300ETF联接,2011/10/10,0.734,0.734
000051,华夏沪深300ETF联接,2011/9/02,0.802,0.802
000051,华夏沪深300ETF联接,2011/8/05,0.828,0.828
000051,华夏沪深300ETF联接,2011/7/08,0.885,0.885
000051,华夏沪深300ETF联接,2011/6/10,0.84,0.84
000051,华夏沪深300ETF联接,2011/5/12,0.876,0.876
000051,华夏沪深300ETF联接,2011/4/13,0.947,0.947
000051,华夏沪深300ETF联接,2011/3/14,0.918,0.918
000051,华夏沪深300ETF联接,2011/2/14,0.907,0.907
000051,华夏沪深300ETF联接,2011/1/10,0.878,0.878
000051,华夏沪深300ETF联接,2010/12/10,0.893,0.893
000051,华夏沪深300ETF联接,2010/11/12,0.929,0.929
000051,华夏沪深300ETF联接,2010/10/15,0.937,0.937
000051,华夏沪深300ETF联接,2010/9/07,0.846,0.846
000051,华夏沪深300ETF联接,2010/8/10,0.805,0.805
000051,华夏沪深300ETF联接,2010/7/13,0.748,0.748
000051,华夏沪深300ETF联接,2010/6/10,0.778,0.778
000051,华夏沪深300ETF联接,2010/5/13,0.812,0.812
000051,华夏沪深300ETF联接,2010/4/14,0.949,0.949
000051,华夏沪深300ETF联接,2010/3/16,0.897,0.897
000051,华夏沪深300ETF联接,2010/2/09,0.889,0.889
000051,华夏沪深300ETF联接,2010/1/12,0.985,0.985
000051,华夏沪深300ETF联接,2009/12/14,1.008,1.008
000051,华夏沪深300ETF联接,2009/11/16,1.005,1.005
000051,华夏沪深300ETF联接,2009/10/19,0.941,0.941
000051,华夏沪深300ETF联接,2009/9/11,0.934,0.934
000051,华夏沪深300ETF联接,2009/8/14,0.96,0.96
257060,国联安商品ETF联接,2015/11/16,0.616,0.616
257060,国联安商品ETF联接,2015/10/19,0.598,0.598
257060,国联安商品ETF联接,2015/9/14,0.546,0.546
257060,国联安商品ETF联接,2015/8/13,0.747,0.747
257060,国联安商品ETF联接,2015/7/16,0.663,0.663
257060,国联安商品ETF联接,2015/6/17,0.943,0.943
257060,国联安商品ETF联接,2015/5/20,0.79,0.79
257060,国联安商品ETF联接,2015/4/21,0.771,0.771
257060,国联安商品ETF联接,2015/3/23,0.68,0.68
257060,国联安商品ETF联接,2015/2/16,0.584,0.584
257060,国联安商品ETF联接,2015/1/19,0.571,0.571
257060,国联安商品ETF联接,2014/12/18,0.576,0.576
257060,国联安商品ETF联接,2014/11/20,0.498,0.498
257060,国联安商品ETF联接,2014/10/23,0.48,0.48
257060,国联安商品ETF联接,2014/9/18,0.492,0.492
257060,国联安商品ETF联接,2014/8/20,0.487,0.487
257060,国联安商品ETF联接,2014/7/23,0.431,0.431
257060,国联安商品ETF联接,2014/6/25,0.414,0.414
257060,国联安商品ETF联接,2014/5/27,0.414,0.414
257060,国联安商品ETF联接,2014/4/25,0.416,0.416
257060,国联安商品ETF联接,2014/3/27,0.425,0.425
257060,国联安商品ETF联接,2014/2/27,0.435,0.435
257060,国联安商品ETF联接,2014/1/23,0.432,0.432
257060,国联安商品ETF联接,2013/12/25,0.468,0.468
257060,国联安商品ETF联接,2013/11/27,0.505,0.505
257060,国联安商品ETF联接,2013/10/30,0.503,0.503
257060,国联安商品ETF联接,2013/9/25,0.523,0.523
257060,国联安商品ETF联接,2013/8/26,0.516,0.516
257060,国联安商品ETF联接,2013/7/29,0.471,0.471
257060,国联安商品ETF联接,2013/7/01,0.486,0.486
257060,国联安商品ETF联接,2013/5/30,0.608,0.608
257060,国联安商品ETF联接,2013/5/02,0.58,0.58
257060,国联安商品ETF联接,2013/3/28,0.642,0.642
257060,国联安商品ETF联接,2013/2/28,0.695,0.695
257060,国联安商品ETF联接,2013/1/24,0.692,0.692
257060,国联安商品ETF联接,2012/12/24,0.67,0.67
257060,国联安商品ETF联接,2012/11/26,0.628,0.628
257060,国联安商品ETF联接,2012/10/29,0.644,0.644
257060,国联安商品ETF联接,2012/9/25,0.663,0.663
257060,国联安商品ETF联接,2012/8/28,0.659,0.659
257060,国联安商品ETF联接,2012/7/31,0.663,0.663
257060,国联安商品ETF联接,2012/7/03,0.705,0.705
257060,国联安商品ETF联接,2012/6/05,0.767,0.767
257060,国联安商品ETF联接,2012/5/08,0.827,0.827
257060,国联安商品ETF联接,2012/4/06,0.761,0.761
257060,国联安商品ETF联接,2012/3/07,0.776,0.776
257060,国联安商品ETF联接,2012/2/08,0.77,0.77
257060,国联安商品ETF联接,2012/1/04,0.653,0.653
257060,国联安商品ETF联接,2011/12/06,0.75,0.75
257060,国联安商品ETF联接,2011/11/08,0.832,0.832
257060,国联安商品ETF联接,2011/10/11,0.8,0.8
257060,国联安商品ETF联接,2011/9/05,0.873,0.873
257060,国联安商品ETF联接,2011/8/08,0.912,0.912
257060,国联安商品ETF联接,2011/7/11,0.981,0.981
257060,国联安商品ETF联接,2011/6/13,0.928,0.928
257060,国联安商品ETF联接,2011/5/13,0.942,0.942
257060,国联安商品ETF联接,2011/4/14,1.034,1.034
257060,国联安商品ETF联接,2011/3/15,0.979,0.979
257060,国联安商品ETF联接,2011/2/15,0.968,0.968
257060,国联安商品ETF联接,2010/12/17,1.001,1.001
