date,quote
2015/10/22,9.57
2015/10/21,10.44
2015/10/20,9.49
2015/10/19,9.35
2015/10/16,9.21
2015/10/15,8.57
2015/10/14,8.79
2015/10/13,8.64
2015/10/12,8.12
2015/10/9,7.8
2015/10/8,7.48
2015/9/30,7.44
2015/9/29,7.82
2015/9/28,7.8
2015/9/25,7.8
2015/9/24,7.61
2015/9/23,7.59
2015/9/22,7.35
2015/9/21,6.99
2015/9/18,6.98
2015/9/17,7.18
2015/9/16,6.53
2015/9/15,7.25
2015/9/14,8.06
2015/9/11,8.14
2015/9/10,8.22
2015/9/9,7.92
2015/9/8,7.4
2015/9/7,7.23
2015/9/2,7.78
2015/9/1,8.64
2015/8/31,9.6
2015/8/28,8.9
2015/8/27,9.58
2015/8/26,10.64
2015/8/25,11.82
2015/8/24,13.13
2015/8/21,14.09
2015/8/20,13.78
2015/8/19,12.53
2015/8/18,13.92
2015/8/17,13.41
2015/8/14,12.77
2015/8/13,12.15
2015/8/12,12.61
2015/8/11,12.72
2015/8/10,12.18
2015/8/7,12.02
2015/8/6,11.7
2015/8/5,11.55
2015/8/4,10.85
2015/8/3,12.06
2015/7/31,12.15
2015/7/30,11.42
2015/7/29,10.86
2015/7/28,11.7
2015/7/27,13
2015/7/24,13.63
2015/7/23,13.6
2015/7/22,13.98
2015/7/21,12.71
2015/7/20,11.55
2015/7/17,11.55
2015/7/16,11.55
2015/7/15,11.55
2015/7/14,11.55
2015/7/13,11.55
2015/7/10,11.55
2015/7/9,11.55
2015/7/8,11.55
2015/7/7,12.83
2015/7/6,14.26
2015/7/3,15.84
2015/7/2,17.6
2015/7/1,17.8
2015/6/30,17.19
2015/6/29,17.19
2015/6/26,19.1
2015/6/25,18.48
2015/6/24,16.8
2015/6/23,18.45
2015/6/19,20.5
2015/6/18,18.82
2015/6/17,19.46
2015/6/16,18.6
2015/6/15,17.74
2015/6/12,16.13
2015/6/11,15.78
2015/6/10,15.51
2015/6/9,15.77
2015/6/8,16.06
2015/6/5,15.5
2015/6/4,15.85
2015/6/3,15.13
2015/6/2,14.6
2015/6/1,13.63
2015/5/29,12.97
2015/5/28,13.6
2015/5/27,13.81
2015/5/26,13.76
2015/5/25,12.86
2015/5/22,11.69
2015/5/21,11.24
2015/5/20,11.1
2015/5/19,11.02
2015/5/18,10.51
2015/5/15,10.46
2015/5/14,10.39
2015/5/13,10.25
2015/5/12,10.18
2015/5/11,9.77
2015/5/8,9.37
2015/5/7,9.67
2015/5/6,9.74
2015/5/5,10.19
2015/5/4,10.16
2015/4/30,10.24
2015/4/29,10.23
2015/4/28,10.79
2015/4/27,10.6
2015/4/24,10.72
2015/4/23,10.61
2015/4/22,10.28
2015/4/21,9.97
2015/4/20,10.48
2015/4/17,10.4
2015/4/16,10.51
2015/4/15,11.07
2015/4/14,11.21
2015/4/13,10.79
2015/4/10,10.38
2015/4/9,10.85
2015/4/8,10.64
2015/4/7,10.21
2015/4/3,10.08
2015/4/2,9.89
2015/4/1,9.47
2015/3/31,9.75
2015/3/30,9.73
2015/3/27,9.45
2015/3/26,9.2
2015/3/25,9.18
2015/3/24,9.39
2015/3/23,9.25
2015/3/20,9.2
2015/3/19,9.22
2015/3/18,8.38
2015/3/17,8.38
2015/3/16,8.38
2015/3/13,8.38
2015/3/12,8.38
2015/3/11,8.38
2015/3/10,8.38
2015/3/9,8.38
2015/3/6,8.38
2015/3/5,8.38
2015/3/4,8.38
2015/3/3,8.38
2015/3/2,8.38
2015/2/27,8.38
2015/2/26,8.38
2015/2/25,8.38
2015/2/17,8.43
2015/2/16,8.04
