date,quote
2001/1/18,8.99
2001/1/19,27.7
2001/2/5,28.4
2001/2/6,26.65
2001/2/7,26
2001/2/8,26.05
2001/2/9,26.1
2001/2/12,26.48
2001/2/13,26.69
2001/2/14,26.26
2001/2/15,26.71
2001/2/16,25.99
2001/2/19,26
2001/2/20,26.39
2001/2/21,26.19
2001/2/22,26.05
2001/2/23,26.5
2001/2/26,27.2
2001/2/27,27.61
2001/2/28,27.98
2001/3/1,28
2001/3/2,28.04
2001/3/5,27.89
2001/3/6,27.5
2001/3/7,28
2001/3/8,28.5
2001/3/9,28.5
2001/3/12,28.3
2001/3/13,29.57
2001/3/14,30
2001/3/15,31
2001/3/16,31.04
2001/3/19,30.95
2001/3/20,30.49
2001/3/21,30.58
2001/3/22,30.95
2001/3/23,30.95
2001/3/26,31.3
2001/3/27,31.8
2001/3/28,32.46
2001/3/29,32.29
2001/3/30,32.54
2001/4/2,33.55
2001/4/3,34.28
2001/4/4,33.45
2001/4/5,33.2
2001/4/6,33.5
2001/4/9,33.21
2001/4/10,33.88
2001/4/11,34.36
2001/4/12,34.28
2001/4/13,34.58
2001/4/16,34.92
2001/4/17,38
2001/4/18,38.4
2001/4/19,39.1
2001/4/20,38.65
2001/4/23,37.51
2001/4/24,39.6
2001/4/25,40.1
2001/4/26,38.8
2001/4/27,39.11
2001/4/30,39.28
2001/5/8,40.58
2001/5/9,40.45
2001/5/10,40.45
2001/5/11,40.05
2001/5/14,39.1
2001/5/15,39.37
2001/5/16,39.6
2001/5/17,40.75
2001/5/18,41.79
2001/5/21,43.98
2001/5/22,42.85
2001/5/23,42.97
2001/5/24,43.1
2001/5/25,42.58
2001/5/28,42.8
2001/5/29,43.1
2001/5/30,43.1
2001/5/31,42.62
2001/6/1,42.35
2001/6/4,42.58
2001/6/5,41.1
2001/6/6,42.09
2001/6/7,42.15
2001/6/8,41.89
2001/6/11,41.89
2001/6/12,41.31
2001/6/13,41
2001/6/14,42.2
2001/6/15,42.19
2001/6/18,42
2001/6/19,41.7
2001/6/20,40.88
2001/6/21,39.95
2001/6/22,39.38
2001/6/25,40
2001/6/26,40.3
2001/6/27,40.1
2001/6/28,39.5
2001/6/29,40.89
2001/7/2,39.9
2001/7/3,39.33
2001/7/4,39.9
2001/7/5,39.36
2001/7/6,38.99
2001/7/9,39.63
2001/7/10,39.58
2001/7/11,39.84
2001/7/12,41.08
2001/7/13,41.19
2001/7/16,42.19
2001/7/17,42.48
2001/7/18,44.2
2001/7/19,43.98
2001/7/20,44.15
2001/7/23,45.95
2001/7/24,46
2001/7/25,45.19
2001/7/26,44.88
2001/7/27,43.8
2001/7/30,39.42
2001/7/31,35.5
2001/8/1,35.99
2001/8/2,37.77
2001/8/3,35.8
2001/8/6,35.9
2001/8/7,34.93
2001/8/8,35.38
2001/8/9,35.4
2001/8/10,35.6
2001/8/13,37.4
2001/8/14,37.51
2001/8/15,37.43
2001/8/16,38
2001/8/17,37.97
2001/8/20,37.8
2001/8/21,37.49
2001/8/22,37.49
2001/8/23,36.63
2001/8/24,36.6
2001/8/27,36.5
2001/8/28,35.5
2001/8/29,35.3
2001/8/30,35.18
2001/8/31,34.45
2001/9/3,34.45
2001/9/4,34.5
2001/9/5,35.45
2001/9/6,35.98
2001/9/7,35.49
2001/9/10,34.26
2001/9/11,34.84
2001/9/12,34.84
2001/9/13,34.4
2001/9/14,34
2001/9/17,33.88
2001/9/18,33.2
2001/9/19,32.9
2001/9/20,32.84
2001/9/21,32.84
2001/9/24,31.7
2001/9/25,32.2
2001/9/26,31.7
2001/9/27,31.5
2001/9/28,31.48
2001/10/8,32
2001/10/9,32.4
2001/10/10,32.88
2001/10/11,31.79
2001/10/12,30.51
2001/10/15,20.95
2001/10/16,20.63
2001/10/17,20.2
2001/10/18,19.99
2001/10/19,18.85
2001/10/22,16.97
2001/10/23,15.27
2001/10/24,16.8
2001/10/25,17.86
2001/10/26,16.07
2001/10/29,15.54
2001/10/30,17.09
2001/10/31,17.55
2001/11/1,17.46
2001/11/2,17.3
2001/11/5,17.1
2001/11/6,16.5
2001/11/7,16.34
2001/11/8,15.76
2001/11/9,15.85
2001/11/12,16.02
2001/11/13,16.22
2001/11/14,16.05
2001/11/15,15.94
2001/11/16,15.75
2001/11/19,16.18
2001/11/20,16.19
2001/11/21,16.97
2001/11/22,17.13
2001/11/23,18.1
2001/11/26,18.02
2001/11/27,17.9
2001/11/28,18
2001/11/29,19.11
2001/11/30,18.87
2001/12/3,19.18
2001/12/4,19.51
2001/12/5,19.38
2001/12/6,18.75
2001/12/7,18.43
2001/12/10,18.49
2001/12/11,18.47
2001/12/12,18.12
2001/12/13,18.2
2001/12/14,17.89
2001/12/17,17.57
2001/12/18,16.94
2001/12/19,17.3
2001/12/20,17.06
2001/12/21,16.31
2001/12/24,16.34
2001/12/25,16.07
2001/12/26,16.14
2001/12/27,16.54
2001/12/28,16.69
2001/12/31,16.81
2002/1/4,16.27
2002/1/7,15.8
2002/1/8,15.69
2002/1/9,15.7
2002/1/10,15.73
2002/1/11,15.69
2002/1/14,15.21
2002/1/15,13.9
2002/1/16,13.65
2002/1/17,14.08
