date,code,company,quote
2015-10-23,'002362,汉王科技,29.36
2015-10-22,'002362,汉王科技,26.69
2015-10-21,'002362,汉王科技,24.26
2015-10-20,'002362,汉王科技,22.05
2015-10-19,'002362,汉王科技,21.7
2015-10-16,'002362,汉王科技,21.15
2015-10-15,'002362,汉王科技,19.88
2015-10-14,'002362,汉王科技,20.9
2015-10-13,'002362,汉王科技,20.15
2015-10-12,'002362,汉王科技,19.39
2015-10-09,'002362,汉王科技,19.7
2015-10-08,'002362,汉王科技,18.36
2015-09-30,'002362,汉王科技,16.69
2015-09-29,'002362,汉王科技,17.24
2015-09-28,'002362,汉王科技,16.38
2015-09-25,'002362,汉王科技,17.6
2015-09-24,'002362,汉王科技,17.16
2015-09-23,'002362,汉王科技,17.3
2015-09-22,'002362,汉王科技,17.44
2015-09-21,'002362,汉王科技,16.25
2015-09-18,'002362,汉王科技,15.8
2015-09-17,'002362,汉王科技,15.9
2015-09-16,'002362,汉王科技,14.45
2015-09-15,'002362,汉王科技,16.05
2015-09-14,'002362,汉王科技,17.83
2015-09-11,'002362,汉王科技,17.4
2015-09-10,'002362,汉王科技,18.16
2015-09-09,'002362,汉王科技,17.38
2015-09-08,'002362,汉王科技,15.9
2015-09-07,'002362,汉王科技,15.15
2015-09-02,'002362,汉王科技,15.66
2015-09-01,'002362,汉王科技,17.37
2015-08-31,'002362,汉王科技,18.58
2015-08-28,'002362,汉王科技,17
2015-08-27,'002362,汉王科技,16
2015-08-26,'002362,汉王科技,17.4
2015-08-25,'002362,汉王科技,19.33
2015-08-24,'002362,汉王科技,21.48
2015-08-21,'002362,汉王科技,23.87
2015-08-20,'002362,汉王科技,24.84
2015-08-19,'002362,汉王科技,24.12
2015-08-18,'002362,汉王科技,26.8
2015-08-17,'002362,汉王科技,27.27
2015-08-14,'002362,汉王科技,27.64
2015-08-13,'002362,汉王科技,26.42
2015-08-12,'002362,汉王科技,26.16
2015-08-11,'002362,汉王科技,26.41
2015-08-10,'002362,汉王科技,24.76
2015-08-07,'002362,汉王科技,22.61
2015-08-06,'002362,汉王科技,22.25
2015-08-05,'002362,汉王科技,22.26
2015-08-04,'002362,汉王科技,20.24
2015-08-03,'002362,汉王科技,22.35
2015-07-31,'002362,汉王科技,23.73
2015-07-30,'002362,汉王科技,24.45
2015-07-29,'002362,汉王科技,22.73
2015-07-28,'002362,汉王科技,25.25
2015-07-27,'002362,汉王科技,28.05
2015-07-24,'002362,汉王科技,28.46
2015-07-23,'002362,汉王科技,27.53
2015-07-22,'002362,汉王科技,27.33
2015-07-21,'002362,汉王科技,25.59
2015-07-20,'002362,汉王科技,24.7
2015-07-17,'002362,汉王科技,22.83
