district,hurt,time,place
3101176201400120,伤人事故,2014-8-29 18:30:00,泗陈公路出佘北公路东约2米
3101182201400410,死亡事故,2014-8-12 22:55:00,嘉松中路出华隆路南约3000米
3101158201500130,死亡事故,2015-4-15 8:10:00,大川公路进周祝公路北约500米
3101121201400290,死亡事故,2014-11-26 11:50:00,苏召路立跃路北约200米
3101155201400390,死亡事故,2014-9-11 15:05:00,港城路出杨高北路西约300米
3101158201400290,死亡事故,2014-7-2 7:18:00,康新公路进新卫路南约40米
3101173201400080,死亡事故,2014-7-5 8:06:00,新绿街进新绿街新颖路西约150米
3101087201400020,伤人事故,2014-7-23 12:40:00,江场西路原平路东约5米
3101171201400100,财产损失事故,2014-7-19 10:35:00,辰花公路出光星路西约100米
3101087201400020,死亡事故,2014-7-7 20:17:00,天目中路大统路东约1米
3102303201400110,死亡事故,2014-9-25 16:15:00,协定公路协津公路西约500米
3101120201400170,死亡事故,2014-7-7 23:39:00,剑川路进莲花南路东约300米
3101153201400320,死亡事故,2014-7-21 17:22:00,御青路京浦路西约20米
3101170201400080,死亡事故,2014-7-7 17:25:00,塔闵公路出松卫北路西约1000米
3101127201400170,死亡事故,2014-7-17 18:05:00,沪闵路贵都路南约5米
3101128201400170,伤人事故,2014-7-16 22:23:00,春西路申旺路南约30米
3101177201400120,死亡事故,2014-8-23 22:58:00,昆港公路出新港路南约80米
3101151201400340,死亡事故,2014-8-3 11:55:00,汇成路园西路东约1米
3101172201400090,死亡事故,2014-7-11 15:33:00,滨湖路出新松江路南约100米
3101146201400140,死亡事故,2014-10-30 22:50:00,外钱公路进墨玉北路东约300米
3101151201400410,死亡事故,2014-9-18 19:25:00,东川公路上川路北约600米
3101124201400210,伤人事故,2014-9-3 12:16:00,春都路都庄路东约100米
3101173201400090,死亡事故,2014-7-9 19:34:00,嘉松南路沈砖公路东北约20米
3101129201400200,伤人事故,2014-8-24 20:07:00,三鲁公路立跃路北约400米
3101126201400180,伤人事故,2014-7-20 22:04:00,联跃路浦星公路东约0米
3101121201400160,死亡事故,2014-7-6 20:51:00,沪闵路莘建路南约300米
3101121201400190,伤人事故,2014-7-29 11:37:00,立跃路立民路北约0米
3101086201400020,死亡事故,2014-7-21 10:34:00,共和新路出彭江路北约100米
3101175201400100,伤人事故,2014-7-18 17:45:00,方泗公路进九干路南约200米
3101107201400040,死亡事故,2014-10-23 9:23:00,政立路淞沪路东北约1米
3101151201400350,死亡事故,2014-8-5 17:09:00,张杨北路航津路东约10米
3101154201400390,死亡事故,2014-9-11 19:57:00,张东路祖冲之路东约1米
3101126201400170,伤人事故,2014-7-6 21:58:00,漕宝路进龙茗路东约100米
3101152201400440,死亡事故,2014-10-4 7:15:00,东高路张杨北路西约5米
3103013201400000,伤人事故,2014-7-20 22:25:00,沪渝高速北侧中春路下匝道后约1000米
3101153201400290,死亡事故,2014-7-2 21:40:00,五洲大道北侧申江路上匝道
3101160201400060,死亡事故,2014-8-6 8:56:00,金展路林贤路南约200米
3101175201400080,伤人事故,2014-7-3 3:30:00,沪昆高速北侧36km约900米
3101184201400390,死亡事故,2014-8-2 21:38:00,崧泽大道出赵重公路东约1500米
3101057201400020,死亡事故,2014-7-14 15:28:00,北翟路出剑河路西约100米
3101173201400090,死亡事故,2014-7-12 19:40:00,玉树路进兴仓路北约80米
3101138201400130,伤人事故,2014-7-23 4:05:00,外环高速东侧85km约200米
3101136201400150,死亡事故,2014-8-29 18:32:00,恒高路进江杨南路东约30米
3101183201400380,死亡事故,2014-7-23 8:01:00,嘉松中路纪鹤公路西北约10米
3101120201400160,死亡事故,2014-7-4 10:50:00,老沪闵路进华泾路西约200米
3101180201400380,死亡事故,2014-7-26 0:57:00,新胜路进白石公路南约500米
3101049201400040,死亡事故,2014-7-16 10:07:00,龙吴路银都路西北约20米
3101177201400110,死亡事故,2014-8-3 20:15:00,申港路出华磊路南约500米
3101124201400230,伤人事故,2014-9-27 7:10:00,吴中路出环镇西路东约100米
3101130201400130,死亡事故,2014-7-31 17:35:00,泰和西路富长路东约500米
3101147201400100,死亡事故,2014-8-6 15:35:00,永盛路希望路东约1米
3101158201400290,死亡事故,2014-7-2 1:00:00,申江南路周祝公路(南)南约30米
3101152201400410,死亡事故,2014-9-21 22:32:00,高科中路伽利略路东约1米
