date,trend
2015-09-02,-6.457
2015-09-01,-39.362
2015-08-31,-26.364
2015-08-28,148.759
2015-08-27,156.303
2015-08-26,-37.679
2015-08-25,-244.938
2015-08-24,-297.839
2015-08-21,-156.547
2015-08-20,-129.818
2015-08-19,45.945
2015-08-18,-245.504
2015-08-17,28.333
2015-08-14,10.779
2015-08-13,68.236
2015-08-12,-41.588
2015-08-11,-0.507
2015-08-10,184.21
2015-08-07,82.666
2015-08-06,-33.034
2015-08-05,-61.972
2015-08-04,133.64
2015-08-03,-40.821
2015-07-31,-42.04
2015-07-30,-83.402
2015-07-29,126.166
2015-07-28,-62.556
2015-07-27,-345.35
2015-07-24,-53.015
2015-07-23,97.878
2015-07-22,8.37
2015-07-21,25.565
2015-07-20,34.758
2015-07-17,134.176
2015-07-16,17.473
2015-07-15,-118.784
2015-07-14,-45.901
2015-07-13,92.585
2015-07-10,168.473
2015-07-09,202.138
2015-07-08,-219.933
2015-07-07,-48.787
2015-07-06,88.997
2015-07-03,-225.852
2015-07-02,-140.933
2015-07-01,-223.522
2015-06-30,224.192
2015-06-29,-139.843
2015-06-26,-334.906
2015-06-25,-162.371
2015-06-24,113.658
2015-06-23,98.128
2015-06-19,-306.992
2015-06-18,-182.542
2015-06-17,80.466
2015-06-16,-175.561
2015-06-15,-103.357
2015-06-12,44.757
2015-06-11,15.557
2015-06-10,-7.498
2015-06-09,-18.347
2015-06-08,108.785
2015-06-05,75.994
2015-06-04,37.124
2015-06-03,-0.549
2015-06-02,81.789
2015-06-01,216.994
2015-05-29,-8.522
2015-05-28,-321.448
2015-05-27,30.817
2015-05-26,97.099
2015-05-25,156.202
2015-05-22,128.174
2015-05-21,83.134
2015-05-20,28.736
2015-05-19,134.061
2015-05-18,-25.2
2015-05-15,-69.62
2015-05-14,2.551
2015-05-13,-25.459
2015-05-12,67.635
2015-05-11,127.667
2015-05-08,93.703
2015-05-07,-117.052
2015-05-06,-69.44
2015-05-05,-181.758
2015-05-04,38.809
2015-04-30,-34.965
2015-04-29,0.405
2015-04-28,-51.181
2015-04-27,133.71
2015-04-24,-20.822
2015-04-23,16.014
2015-04-22,104.871
2015-04-21,76.546
2015-04-20,-70.219
2015-04-17,92.473
2015-04-16,110.66
2015-04-15,-51.402
2015-04-14,13.85
2015-04-13,87.405
2015-04-10,76.776
2015-04-09,-37.277
2015-04-08,33.433
2015-04-07,97.449
2015-04-03,38.145
2015-04-02,15.49
2015-04-01,62.395
2015-03-31,-38.669
2015-03-30,95.472
2015-03-27,9.001
2015-03-26,21.368
2015-03-25,-30.683
2015-03-24,3.682
2015-03-23,70.41
2015-03-20,35.047
2015-03-19,4.97
2015-03-18,74.454
2015-03-17,53.542
2015-03-16,76.394
2015-03-13,23.588
2015-03-12,58.423
2015-03-11,4.832
2015-03-10,-16.34
2015-03-09,61.221
2015-03-06,-7.289
2015-03-05,-31.057
2015-03-04,16.481
2015-03-03,-73.233
2015-03-02,25.982
2015-02-27,11.944
2015-02-26,69.516
2015-02-25,-18.063
2015-02-17,24.543
2015-02-16,18.536
2015-02-13,30.411
2015-02-12,15.712
2015-02-11,16.111
2015-02-10,46.469
2015-02-09,19.217
2015-02-06,-60.624
2015-02-05,-37.595
2015-02-04,-30.781
2015-02-03,76.607
2015-02-02,-82.063
2015-01-30,-51.942
2015-01-29,-43.433
2015-01-28,-47.222
2015-01-27,-30.222
2015-01-26,31.418
2015-01-23,8.42
2015-01-22,19.733
2015-01-21,150.559
2015-01-20,56.701
2015-01-19,-260.144
2015-01-16,40.04
2015-01-15,114.018
2015-01-14,-12.864
2015-01-13,5.985
2015-01-12,-56.096
2015-01-09,-8.044
2015-01-08,-80.498
2015-01-07,22.508
2015-01-06,0.927
2015-01-05,115.842
2014-12-31,68.862
2014-12-30,-2.201
2014-12-29,10.413
2014-12-26,85.067
2014-12-25,100.004
2014-12-24,-60.08
2014-12-23,-94.833
2014-12-22,18.849
2014-12-19,51.075
2014-12-18,-3.499
2014-12-17,39.502
2014-12-16,68.097
2014-12-15,15.248
2014-12-12,12.43
2014-12-11,-14.263
2014-12-10,83.737
2014-12-09,-163.989
2014-12-08,82.611
2014-12-05,38.191
2014-12-04,119.931
2014-12-03,15.98
2014-12-02,83.39
2014-12-01,-2.68
2014-11-28,52.349
2014-11-27,26.141
2014-11-26,36.748
2014-11-25,34.718
2014-11-24,46.088
2014-11-21,34.131
2014-11-20,1.674
2014-11-19,-5.38
2014-11-18,-17.643
2014-11-17,-4.815
2014-11-14,-6.782
2014-11-13,-8.87
2014-11-12,24.803
2014-11-11,-4
2014-11-10,55.502
2014-11-07,-7.693
2014-11-06,6.61
2014-11-05,-11.423
2014-11-04,0.645
2014-11-03,9.854
2014-10-31,29.102
2014-10-30,18.046
2014-10-29,35.159
2014-10-28,47.434
2014-10-27,-11.843
2014-10-24,-0.138
2014-10-23,-24.135
2014-10-22,-13.104
2014-10-21,-17.071
2014-10-20,15.544
2014-10-17,-15.315
2014-10-16,-17.171
2014-10-15,14.195
2014-10-14,-6.534
2014-10-13,-8.531
2014-10-10,-14.831
2014-10-09,6.577
2014-10-08,18.924
2014-09-30,6.159
2014-09-29,9.993
2014-09-26,2.615
2014-09-25,1.528
2014-09-24,33.857
2014-09-23,19.852
2014-09-22,-39.585
2014-09-19,13.523
2014-09-18,8.035
2014-09-17,11.338
2014-09-16,-42.585
2014-09-15,7.19
2014-09-12,20.271
2014-09-11,-6.626
2014-09-10,-8.222
2014-09-09,0.095
2014-09-05,19.57
2014-09-04,18.235
2014-09-03,22.581
2014-09-02,30.535
2014-09-01,18.311
2014-08-29,21.382
2014-08-28,-13.647
2014-08-27,2.359
2014-08-26,-22.168
2014-08-25,-11.538
2014-08-22,10.354
2014-08-21,-9.753
2014-08-20,-5.119
2014-08-19,5.864
2014-08-18,12.732
2014-08-15,20.268
2014-08-14,-16.411
2014-08-13,1.282
2014-08-12,-3.059
2014-08-11,30.229
2014-08-08,6.756
2014-08-07,-29.796
2014-08-06,-2.48
2014-08-05,-3.386
2014-08-04,38.028
2014-08-01,-16.259
2014-07-31,20.319
2014-07-30,-1.949
2014-07-29,5.244
2014-07-28,51.334
2014-07-25,21.552
2014-07-24,26.573
2014-07-23,3.008
2014-07-22,21.002
2014-07-21,-4.588
2014-07-18,3.476
2014-07-17,-11.685
2014-07-16,-3.081
2014-07-15,3.711
2014-07-14,19.685
2014-07-11,8.619
2014-07-10,-0.27
2014-07-09,-25.409
2014-07-08,4.094
2014-07-07,0.552
2014-07-04,-3.854
2014-07-03,3.811
2014-07-02,9.037
2014-07-01,2.054
2014-06-30,11.817
2014-06-27,-2.167
2014-06-26,13.175
2014-06-25,-8.429
2014-06-24,9.566
2014-06-23,-2.309
2014-06-20,2.939
2014-06-19,-31.784
2014-06-18,-11.179
2014-06-17,-19.285
2014-06-16,15.268
2014-06-13,19.002
2014-06-12,-3.235
2014-06-11,2.416
2014-06-10,22.03
2014-06-09,0.546
2014-06-06,-10.922
2014-06-05,16.044
2014-06-04,-13.471
2014-06-03,-0.907
2014-05-30,-1.383
2014-05-29,-9.633
2014-05-28,15.663
2014-05-27,-6.911
2014-05-26,6.907
2014-05-23,13.284
2014-05-22,-3.666
2014-05-21,16.832
2014-05-20,2.936
2014-05-19,-21.321
2014-05-16,1.53
2014-05-15,-22.936
2014-05-14,-2.818
2014-05-13,-2.143
2014-05-12,41.736
2014-05-09,-4.139
2014-05-08,5.191
2014-05-07,-17.955
2014-05-06,0.685
2014-05-05,0.995
2014-04-30,6.017
2014-04-29,16.854
2014-04-28,-33.032
2014-04-25,-20.514
2014-04-24,-10.349
2014-04-23,-5.449
2014-04-22,7.005
2014-04-21,-31.922
2014-04-18,-1.137
2014-04-17,-6.237
2014-04-16,3.521
2014-04-15,-29.938
2014-04-14,0.997
2014-04-11,-3.758
2014-04-10,29.063
2014-04-09,6.953
2014-04-08,39.453
2014-04-04,15.129
2014-04-03,-15.286
2014-04-02,11.528
2014-04-01,14.154
2014-03-31,-8.406
2014-03-28,-4.876
2014-03-27,-17.082
2014-03-26,-3.641
2014-03-25,1.032
2014-03-24,18.66
2014-03-21,54.14
2014-03-20,-28.255
2014-03-19,-3.462
2014-03-18,1.523
2014-03-17,19.334
2014-03-14,-14.772
2014-03-13,21.419
2014-03-12,-3.465
2014-03-11,2.092
2014-03-10,-58.843
2014-03-07,-1.67
2014-03-06,6.494
2014-03-05,-18.389
2014-03-04,-3.762
2014-03-03,18.933
2014-02-28,8.948
2014-02-27,6.1
2014-02-26,7.035
2014-02-25,-42.467
2014-02-24,-37.007
2014-02-21,-25.089
2014-02-20,-3.772
2014-02-19,23.488
2014-02-18,-16.349
2014-02-17,19.567
2014-02-14,17.447
2014-02-13,-11.554
2014-02-12,6.284
2014-02-11,17.604
2014-02-10,41.57
2014-02-07,11.414
2014-01-30,-16.831
2014-01-29,11.401
2014-01-28,5.213
2014-01-27,-21.092
2014-01-24,12.212
2014-01-23,-9.569
2014-01-22,43.436
2014-01-21,17.06
2014-01-20,-13.696
2014-01-17,-18.752
2014-01-16,0.353
2014-01-15,-3.494
2014-01-14,17.278
2014-01-13,-3.734
2014-01-10,-14.324
2014-01-09,-16.718
2014-01-08,-2.977
2014-01-07,1.608
2014-01-06,-37.427
2014-01-03,-26.251
2014-01-02,-6.591
2013-12-31,18.449
2013-12-30,-3.722
2013-12-27,28.152
2013-12-26,-33.255
2013-12-25,13.449
2013-12-24,3.198
2013-12-23,4.913
2013-12-20,-42.998
2013-12-19,-20.493
2013-12-18,-2.794
2013-12-17,-9.782
2013-12-16,-35.214
2013-12-13,-6.721
2013-12-12,-1.37
2013-12-11,-33.326
2013-12-10,-0.708
2013-12-09,1.092
2013-12-06,-9.955
2013-12-05,-4.699
2013-12-04,29.092
2013-12-03,15.299
2013-12-02,-13.133
2013-11-29,1.132
2013-11-28,18.302
2013-11-27,17.997
2013-11-26,-3.042
2013-11-25,-10.263
2013-11-22,-9.388
2013-11-21,-0.847
2013-11-20,13.488
2013-11-19,-4.094
2013-11-18,61.392
2013-11-15,35.321
2013-11-14,12.565
2013-11-13,-38.831
2013-11-12,17.301
2013-11-11,3.344
2013-11-08,-23.273
2013-11-07,-10.207
2013-11-06,-17.633
2013-11-05,7.606
2013-11-04,0.072
2013-11-01,7.948
2013-10-31,-18.849
2013-10-30,31.599
2013-10-29,-5.005
2013-10-28,0.914
2013-10-25,-31.367
2013-10-24,-18.785
2013-10-23,-27.545
2013-10-22,-18.585
2013-10-21,35.457
2013-10-18,5.238
2013-10-17,-4.532
2013-10-16,-40.338
2013-10-15,-4.361
2013-10-14,9.627
2013-10-11,37.217
2013-10-10,-20.84
2013-10-09,13.57
2013-10-08,23.534
2013-09-30,14.638
2013-09-27,4.218
2013-09-26,-42.706
2013-09-25,-9.016
2013-09-24,-13.513
2013-09-23,29.193
2013-09-18,6.291
2013-09-17,-45.841
2013-09-16,-4.816
2013-09-13,-19.388
2013-09-12,14.337
2013-09-11,3.284
2013-09-10,25.468
2013-09-09,72.523
2013-09-06,17.563
2013-09-05,-5.188
2013-09-04,4.506
2013-09-03,24.664
2013-09-02,0.066
2013-08-30,1.155
2013-08-29,-4.074
2013-08-28,-2.266
2013-08-27,7.093
2013-08-26,39.016
2013-08-23,-9.666
2013-08-22,-5.837
2013-08-21,0.366
2013-08-20,-13.007
2013-08-19,17.15
2013-08-16,-13.428
2013-08-15,-18.257
2013-08-14,-6.019
2013-08-13,4.873
2013-08-12,49.048
2013-08-09,7.34
2013-08-08,-1.883
2013-08-07,-13.722
2013-08-06,10.019
2013-08-05,21.063
2013-08-02,0.351
2013-08-01,35.268
2013-07-31,3.735
2013-07-30,13.758
2013-07-29,-34.544
2013-07-26,-10.324
2013-07-25,-12.155
2013-07-24,-10.547
2013-07-23,39.114
2013-07-22,12.114
2013-07-19,-30.748
2013-07-18,-21.526
2013-07-17,-20.798
2013-07-16,6.33
2013-07-15,19.904
2013-07-12,-33.505
2013-07-11,64.865
2013-07-10,42.672
2013-07-09,7.181
2013-07-08,-48.926
2013-07-05,1.101
2013-07-04,11.83
2013-07-03,-12.292
2013-07-02,11.318
2013-07-01,16.036
2013-06-28,29.193
2013-06-27,-1.482
2013-06-26,-8.013
2013-06-25,-3.727
2013-06-24,-109.86
2013-06-21,-10.926
2013-06-20,-59.433
2013-06-19,-15.837
2013-06-18,3.076
2013-06-17,-5.826
2013-06-14,13.686
2013-06-13,-62.543
2013-06-07,-31.212
2013-06-06,-28.821
2013-06-05,-1.485
2013-06-04,-26.836
2013-06-03,-1.343
2013-05-31,-17.154
2013-05-30,-6.268
2013-05-29,2.699
2013-05-28,28.241
2013-05-27,4.544
2013-05-24,12.866
2013-05-23,-26.736
2013-05-22,-2.711
2013-05-21,5.128
2013-05-20,17.116
2013-05-17,31.064
2013-05-16,27.009
2013-05-15,7.787
2013-05-14,-24.91
2013-05-13,-4.911
2013-05-10,13.86
2013-05-09,-13.329
2013-05-08,10.725
2013-05-07,4.409
2013-05-06,25.669
2013-05-03,31.374
2013-05-02,-3.789
2013-04-26,-21.395
2013-04-25,-19.011
2013-04-24,33.78
2013-04-23,-57.631
2013-04-22,-2.474
2013-04-19,47.041
2013-04-18,3.806
2013-04-17,-1.05
2013-04-16,12.904
2013-04-15,-24.838
2013-04-12,-12.773
2013-04-11,-6.573
2013-04-10,0.351
2013-04-09,14.183
2013-04-08,-13.703
2013-04-03,-2.445
2013-04-02,-6.655
2013-04-01,-2.226
2013-03-29,0.319
2013-03-28,-64.957
2013-03-27,3.59
2013-03-26,-29.046
2013-03-25,-1.563
2013-03-22,4.036
2013-03-21,6.868
2013-03-20,59.94
2013-03-19,17.418
2013-03-18,-38.385
2013-03-15,8.124
2013-03-14,6.309
2013-03-13,-22.637
2013-03-12,-23.988
2013-03-11,-8.018
2013-03-08,-5.682
2013-03-07,-22.886
2013-03-06,20.873
2013-03-05,52.902
2013-03-04,-86.102
2013-03-01,-6.087
2013-02-28,52.373
2013-02-27,19.879
2013-02-26,-32.478
2013-02-25,11.655
2013-02-22,-11.787
2013-02-21,-71.227
2013-02-20,14.264
2013-02-19,-38.644
2013-02-18,-10.844
2013-02-08,13.872
2013-02-07,-15.947
2013-02-06,1.347
2013-02-05,4.976
2013-02-04,9.134
2013-02-01,33.598
2013-01-31,2.947
2013-01-30,23.498
2013-01-29,12.472
2013-01-28,55.201
2013-01-25,-11.294
2013-01-24,-18.313
2013-01-23,5.772
2013-01-22,-13.082
2013-01-21,11.151
2013-01-18,32.161
2013-01-17,-24.59
2013-01-16,-16.183
2013-01-15,13.942
2013-01-14,68.743
2013-01-11,-40.661
2013-01-10,8.318
2013-01-09,-0.73
2013-01-08,-9.294
2013-01-07,8.372
2013-01-04,7.864
2012-12-31,35.876
2012-12-28,27.355
2012-12-27,-13.235
2012-12-26,5.521
2012-12-25,54.558
2012-12-24,5.743
2012-12-21,-15.043
2012-12-20,6.114
2012-12-19,-0.225
2012-12-18,2.122
2012-12-17,9.717
2012-12-14,89.149
2012-12-13,-21.25
2012-12-12,8.022
2012-12-11,-9.066
2012-12-10,21.984
2012-12-07,32.549
2012-12-06,-2.67
2012-12-05,56.764
2012-12-04,15.376
2012-12-03,-20.35
2012-11-30,16.629
2012-11-29,-10.035
2012-11-28,-17.642
2012-11-27,-26.299
2012-11-26,-9.92
2012-11-23,11.773
2012-11-22,-14.708
2012-11-21,21.396
