location,skillset,age,dayRate,yearsFreelance,charge,requestDeposit,workRelationships,gender,dayRateCat
London,mixed,25-29,40,2-5,By the project,25-50%,mixed,Male,0-100
East Midlands,DES,25-29,42,0-1,By the project,10-25%,direct,Male,0-100
Scotland,DEV,25-29,50,6-9,By the hour,10-25%,mixed,Male,0-100
South West,mixed,35-39,50,14-17,By the project,notUsually,direct,Male,0-100
Yorkshire & The Humber,mixed,25-29,$50,2-5,By the project,25-50%,mixed,Male,0-100
South East,DES,20-24,75,0-1,By the hour,notUsually,direct,Male,0-100
East Midlands,mixed,15-19,75,0-1,By the hour,25-50%,direct,Male,0-100
Northern Ireland,DES,20-24,75,0-1,By the hour,notUsually,direct,Male,0-100
London,DEV,25-29,75,2-5,By the month,notUsually,direct,Female,0-100
London,DES,25-29,80,2-5,By the project,10-25%,mixed,Male,0-100
North East,DES,25-29,£80,2-5,By the hour,notUsually,direct,Male,0-100
West Midlands,DES,20-24,80,0-1,By the hour,10-25%,direct,Male,0-100
London,DES,25-29,85,0-1,By the project,notUsually,mixed,Male,0-100
Yorkshire & The Humber,mixed,30-34,£90,6-9,By the project,notUsually,direct,Male,0-100
South West,mixed,15-19,100,0-1,By the day,10-25%,direct,Male,100-199
North East,DES,20-24,100,0-1,By the project,notUsually,direct,Male,100-199
London,DEV,20-24,£100,2-5,By the day,notUsually,mixed,Male,100-199
South East,mixed,35-39,100,6-9,By the project,25-50%,mixed,Male,100-199
London,mixed,30-34,100,2-5,By the project,25-50%,mixed,Male,100-199
North West,DES,30-34,100,2-5,By the project,25-50%,direct,Male,100-199
North West,DEV,30-34,100,0-1,By the hour,notUsually,direct,Male,100-199
Northern Ireland,DES,35-39,100,2-5,By the project,notUsually,direct,Male,100-199
North East,DES,20-24,100,0-1,By the project,0-10%,mixed,Male,100-199
London,DES,30-34,100,2-5,By the day,25-50%,mixed,Male,100-199
South West,DEV,40-44,£110,0-1,By the hour,notUsually,direct,Male,100-199
London,mixed,25-29,£110,0-1,By the day,?,direct,Female,100-199
London,DES,25-29,120,2-5,By the day,10-25%,mixed,Male,100-199
London,DEV,20-24,120,6-9,Varies per project,10-25%,direct,Male,100-199
Scotland,DEV,15-19,120,0-1,By the project,10-25%,mixed,Male,100-199
West Midlands,DEV,25-29,£120,0-1,By the project,25-50%,direct,Male,100-199
South West,DEV,40-44,120,2-5,By the hour,notUsually,mixed,Male,100-199
Northern Ireland,mixed,30-34,120,6-9,By the project,10-25%,mixed,Male,100-199
South West,DES,35-39,120,2-5,By the hour,notUsually,mixed,Male,100-199
West Midlands,DES,40-44,120,10-13,Varies per project,25-50%,mixed,Male,100-199
South West,DES,25-29,£120,2-5,By the month,notUsually,direct,Male,100-199
North West,DES,20-24,120,2-5,By the hour,notUsually,direct,Male,100-199
South West,DES,40-44,125,2-5,By the day,notUsually,agencies,Male,100-199
South West,DES,35-39,£130,0-1,By the day,notUsually,direct,Female,100-199
North East,DES,20-24,140,2-5,By the hour,notUsually,mixed,Male,100-199
South East,mixed,25-29,£140,2-5,By the project,25-50%,mixed,Male,100-199
South East,mixed,15-19,150,2-5,Varies per project,25-50%,direct,Male,100-199
South East,mixed,40-44,150,10-13,By the month,25-50%,direct,Male,100-199
Yorkshire & The Humber,DEV,45+,£150,2-5,By the project,10-25%,direct,Male,100-199
South East,mixed,15-19,150,2-5,Varies per project,fixed,mixed,Male,100-199
Scotland,DES,30-34,150,10-13,By the hour,fixed,direct,Male,100-199
London,mixed,20-24,150,2-5,Varies per project,?,direct,Male,100-199
London,mixed,30-34,150,2-5,By the project,notUsually,direct,Male,100-199
North East,DEV,25-29,150,2-5,By the day,25-50%,agencies,Male,100-199
Yorkshire & The Humber,mixed,30-34,150,2-5,By the day,25-50%,direct,Male,100-199
London,DES,45+,150,2-5,By the hour,notUsually,mixed,Female,100-199
West Midlands,mixed,40-44,150,0-1,By the project,notUsually,direct,Male,100-199
Yorkshire & The Humber,mixed,25-29,160,2-5,By the project,25-50%,mixed,Male,100-199
South West,mixed,25-29,160,2-5,By the hour,notUsually,direct,Male,100-199
Northern Ireland,DES,30-34,160,2-5,By the hour,10-25%,mixed,Male,100-199
South West,mixed,40-44,161,0-1,By the project,25-50%,mixed,Male,100-199
London,DES,25-29,£165,0-1,By the day,25-50%,direct,Male,100-199
South East,mixed,20-24,£175,0-1,By the project,25-50%,agencies,Male,100-199
South West,DEV,25-29,175,0-1,Varies per project,notUsually,direct,Male,100-199
East of England,DEV,25-29,175,2-5,By the day,25-50%,direct,Male,100-199
North West,mixed,20-24,180,2-5,By the project,50+%,mixed,Male,100-199
London,DES,25-29,180,0-1,By the project,25-50%,direct,Female,100-199
London,DES,25-29,180,2-5,By the project,50+%,direct,Male,100-199
South West,mixed,40-44,£180,2-5,By the hour,10-25%,direct,Male,100-199
South West,DEV,30-34,200,2-5,By the project,25-50%,mixed,Male,200-299
South West,DEV,25-29,200,0-1,By the hour,notUsually,direct,Male,200-299
South West,DEV,20-24,£200,0-1,By the hour,25-50%,agencies,Male,200-299
Scotland,DEV,35-39,200,14-17,By the hour,10-25%,mixed,Male,200-299
Wales,mixed,20-24,200,2-5,Varies per project,notUsually,agencies,Male,200-299
South East,DES,35-39,£200,2-5,By the project,25-50%,direct,Female,200-299
Scotland,mixed,35-39,200,10-13,Varies per project,notUsually,mixed,Male,200-299
