buyer_time,buyer_level,buyer_addr,buyer_device
2015-06-18 11:29 购买,钻石会员,北京,
2015-06-17 13:08 购买,金牌会员,山东,来自京东Android客户端
2013-10-02 21:32 购买,铜牌会员,北京,来自京东Android客户端
2015-07-10 15:50 购买,钻石会员,山东,来自京东iPhone客户端
2015-07-04 16:22 购买,银牌会员,北京,来自京东iPhone客户端
2015-08-01 21:28 购买,银牌会员,北京,
2015-08-14 17:54 购买,金牌会员,北京,来自京东iPhone客户端
2015-06-15 11:16 购买,银牌会员,安徽,来自京东Android客户端
2015-07-23 11:29 购买,银牌会员,北京,来自京东iPhone客户端
2015-05-08 20:06 购买,钻石会员,天津,来自京东iPhone客户端
2015-07-18 10:44 购买,钻石会员,北京,来自京东iPhone客户端
2015-08-13 20:00 购买,钻石会员,广东,来自京东Android客户端
2015-07-20 13:44 购买,银牌会员,北京,来自京东Android客户端
2015-08-07 16:33 购买,钻石会员,山东,
2015-08-11 21:43 购买,钻石会员,江苏,
2015-06-18 21:05 购买,金牌会员,广东,来自京东Android客户端
2015-08-12 15:59 购买,铜牌会员,广东,来自京东Android客户端
2015-08-12 09:49 购买,金牌会员,山东,来自京东iPhone客户端
2015-08-14 09:04 购买,钻石会员,北京,来自京东Android客户端
