buyer_id,buyer_time,buyer_level,buyer_addr,buyer_device,comment
夜***雨,2015-06-18 11:29 购买,钻石会员,北京,,一直想买的，终于买了。正版，物流超快，一天就收到了。
j***7,2015-06-17 13:08 购买,金牌会员,山东,来自京东Android客户端,收到，书质量不错！值得一看！
jd_060620308,2013-10-02 21:32 购买,铜牌会员,北京,来自京东Android客户端,很好，里.面有注释，所以不要怕看不懂，
购***敌,2015-07-10 15:50 购买,钻石会员,山东,来自京东iPhone客户端,一直支持京东，正品保证。
z***o,2015-07-04 16:22 购买,银牌会员,北京,来自京东iPhone客户端,给孩子买的，正版，送货快！
j***f,2015-08-01 21:28 购买,银牌会员,北京,,正版书，送达快，老客户了！
p***g,2015-08-14 17:54 购买,金牌会员,北京,来自京东iPhone客户端,书不错 速度快 爭取這几天來看
友***8,2015-06-15 11:16 购买,银牌会员,安徽,来自京东Android客户端,很精美，非常不错的一套书
关***1,2015-07-23 11:29 购买,银牌会员,北京,来自京东iPhone客户端,不错，一直在京东买书
h***c,2015-05-08 20:06 购买,钻石会员,天津,来自京东iPhone客户端,很好 样子好 价格好 各种好
J***u,2015-07-18 10:44 购买,钻石会员,北京,来自京东iPhone客户端,好牌子 东西很不错 送货快！这个版本带注释 阅读方便很
w***o,2015-08-13 20:00 购买,钻石会员,广东,来自京东Android客户端,朋友要的，精典版。。。
惨***淡,2015-07-20 13:44 购买,银牌会员,北京,来自京东Android客户端,好喜欢 等这本书好久了
安***5,2015-08-07 16:33 购买,钻石会员,山东,,帮朋友买的，听说不错，朋友喜欢
木***米,2015-08-11 21:43 购买,钻石会员,江苏,,红楼梦（套装上下册）
D***S,2015-06-18 21:05 购买,金牌会员,广东,来自京东Android客户端,中国四大名著，值得收藏
j***a,2015-08-12 15:59 购买,铜牌会员,广东,来自京东Android客户端,好的好的好的好的好的我快暴走啦哈哈
易***6,2015-08-12 09:49 购买,金牌会员,山东,来自京东iPhone客户端,买来收藏的，书很厚，红楼梦百看不厌啊
h***i,2015-08-14 09:04 购买,钻石会员,北京,来自京东Android客户端,九点下单，下午四点收到。强大的京东！
j***u,2015-08-03 10:16 购买,银牌会员,北京,,比较厚实，印刷质量好，孩子学习用，赞
j***l,2015-08-12 21:30 购买,铜牌会员,广东,来自京东iPhone客户端,没看给同事买的?????
经典如你,2015-08-12 19:27 购买,铜牌会员,山东,来自京东Android客户端,整本书感觉不错不错哦，喜欢的可以买来看看啊。强力推荐。注释全面，纸张触感很好呀
黑***2,2015-08-13 17:46 购买,银牌会员,四川,来自京东Android客户端,拿到手塑封开了侧面有点脏，其他地方有点磕碰，想来都是小问题，毕竟这么厚又不是硬皮精装多少会磕碰。老爹的旧版红楼梦，字太小纸张发黄多少有点影响阅读兴趣，选了人民文学这个版本，字体大小行距适中，还有注释，安心把这大部头啃完。
j***2,2015-08-11 12:25 购买,钻石会员,湖南,来自京东iPhone客户端,捡起书本，好好待自己。
Quinn_Ou,2015-07-27 13:23 购买,银牌会员,广东,来自微信购物,经典名著，经典的版本。
jd_权利12,2015-08-02 22:52 购买,银牌会员,河北,来自京东Android客户端,还挺不错的，也没其他朋友们说的破损褶皱什么的，应该不是二手的。挺好的。
去***虹,2015-07-11 22:57 购买,银牌会员,四川,来自京东Android客户端,很好，四大名著，值得一读
l***7,2015-04-22 19:32 购买,银牌会员,辽宁,来自京东iPhone客户端,"不错，包
装完好，质量好，赞一个"
林***v,2015-08-11 20:46 购买,铜牌会员,河北,来自京东Android客户端,整体还不错，虽然有一点瑕疵，可能是运输过程中弄坏的吧。
c***4,2015-07-04 22:19 购买,银牌会员,四川,,好 好 好
C***戎,2015-07-26 15:14 购买,钻石会员,四川,来自京东iPhone客户端,还没看，比实体书店便宜
5***m,2015-07-24 11:06 购买,金牌会员,广东,,质量不错，物流十分给力。
辛***比,2015-07-13 14:21 购买,金牌会员,辽宁,,经典之作 常做枕边书
sdwei,2015-07-20 09:32 购买,钻石会员,北京,,红楼梦（套装上下册）
j***o,2015-08-10 13:17 购买,铜牌会员,四川,,比较好，快递速度比较快。不错的书，是正版
c***b,2015-07-23 10:50 购买,钻石会员,重庆,来自京东iPhone客户端,非常好用，设计合理，货真价实！
f***9,2015-08-11 13:17 购买,钻石会员,河北,来自京东iPhone客户端,人民文学出版的版本很好
云***7,2015-07-22 16:21 购买,银牌会员,贵州,,书确实是太厚了，不好翻看。
b***k,2015-03-19 10:34 购买,钻石会员,山东,来自京东iPhone客户端,老公买的，他爱看书，书架上的书全部京东买的。
j***y,2015-08-04 11:54 购买,银牌会员,河南,,这种旧旧的颜色蛮喜欢
joking123,2015-08-11 21:08 购买,金牌会员,甘肃,来自京东iPad客户端,挺好的，送货快，是正版。
y***n,2015-07-01 12:21 购买,金牌会员,安徽,来自京东Android客户端,还好，，，，，，，，，
果子狸9997,2015-07-19 22:35 购买,铜牌会员,江苏,来自京东Android客户端,书质量很好，很清楚，下次还会来买！
陈***8,2015-07-09 19:43 购买,金牌会员,湖南,,价格很优惠，质量非常好
j***霈,2015-06-26 15:56 购买,银牌会员,山东,,这个是看用户的评价以后买的，四大名著的其中之一，内容肯定没的说，价格也是挺合适的，纸的质量也是不错的。
j***6,2015-03-25 10:33 购买,银牌会员,上海,来自京东iPhone客户端,送货速度很快，书很好，买了送人的。
N***7,2015-08-07 22:46 购买,银牌会员,四川,来自京东Android客户端,很不错，正版，快递员态度特别好，认真负责，一直信赖京东
zd3rk24,2015-07-13 21:24 购买,铜牌会员,辽宁,,不错 感觉很好
z***n,2015-08-02 21:08 购买,铜牌会员,北京,,送过来外包装有点破损，但书还是不错的。嗯，最喜欢的书了！
r***w,2015-07-08 11:56 购买,钻石会员,重庆,,小的时候看连续剧，长大了看书，看文字，看故事，看时代。
惠***子,2015-05-10 23:01 购买,金牌会员,广东,来自京东Android客户端,还行，经典著作，纸也还行
w***7,2015-05-04 10:22 购买,银牌会员,辽宁,,书的质量很好 包装的也不错！
j***i,2015-07-06 16:35 购买,钻石会员,江苏,,很好的一本书，看看挺好的
忠***旺,2015-08-04 14:31 购买,金牌会员,重庆,,将就看吧，评价怎么还非得要字数？
Agoni-----,2015-07-11 21:00 购买,银牌会员,陕西,来自京东Android客户端,书没想象中那么大 不过还不错 挺详细的
j***之,2015-08-06 20:14 购买,金牌会员,上海,来自京东Android客户端,书不错，就是有点褶皱
东***度,2015-06-16 23:52 购买,银牌会员,北京,,小说大家杰作，值得品读
清***1,2015-08-10 10:12 购买,钻石会员,北京,,品质良好，发货及时，传统包装不改，这是书呀
a***n,2015-08-08 13:34 购买,铜牌会员,安徽,来自京东iPhone客户端,在网上搜了几个版本的红楼梦，最终决定买人民文学出版社这版。既有原文下面还有注释，补充了很多知识。虽然不是白话文，但参考注释也能看懂。至于书本质量觉得还可以。推荐给大家买
s***e,2015-08-06 22:28 购买,金牌会员,北京,来自京东iPhone客户端,是很厚，先看看再说，一般般吧
魏***依,2015-06-09 10:57 购买,钻石会员,北京,,买过几个版本了，感觉纸张的质量一般，有点薄。
幽***1,2015-06-06 10:01 购买,钻石会员,山东,来自京东Android客户端,很好，做工非常好。很厚实的，内容也很好。一直想看。
1***3,2015-08-07 13:19 购买,金牌会员,江苏,,"。作者自云：因曾历过一番梦幻之后，故将真事隐去，而借“通灵”之说，撰此《石头记》一书也。故曰“甄士隐”云云。但书中所记何事何人？自又云：“今风尘碌碌，一事无成，忽念及当日所有之女子，一一细考较去，觉其行止见识，皆出于我之上。何我堂堂须眉，诚不若彼裙钗哉？实愧则有余，悔又无益之大无可如何之日也！当此，则自欲将已往所赖天恩祖德，锦衣纨袴之时，饫甘餍肥之日，背父兄教育之恩，负师友规谈之德，以致今日一技无成、半生潦倒之罪，编述一集，以告天下人：我之罪固不免，然闺阁中本自历历有人，万不可因我之不肖，自护己短，一并使其泯灭也。虽今日之茅椽蓬牖，瓦灶绳床，其晨夕风露，阶柳庭花，亦未有妨我之襟怀笔墨者。虽我未学，下笔无文，又何妨用假语村言，敷演出一段故事来，亦可使闺阁昭传，复可悦世之目，破人愁闷，不亦宜乎？”故曰“贾雨村”云云。
此回中凡用“梦”用“幻”等字，是提醒阅者眼目，亦是此书立意本旨。列位看官：你道此书从何而来？说起根由虽近荒唐，细按则深有趣味。待在下将此来历注明，方使阅者了然不惑。"
首***2,2015-03-22 10:24 购买,银牌会员,安徽,来自京东iPhone客户端,质量不错。在京东买书，真方便，还省钱
