buyer_time,buyer_level,buyer_addr,buyer_device
2015-07-21 23:07 购买,金牌会员,广东,来自京东Android客户端
2015-07-27 18:11 购买,金牌会员,陕西,来自京东iPhone客户端
2015-08-10 16:19 购买,钻石会员,上海,
2015-08-07 08:18 购买,金牌会员,广东,来自京东Android客户端
2015-07-15 16:12 购买,银牌会员,北京,来自京东Android客户端
2015-02-28 11:05 购买,金牌会员,北京,来自京东iPhone客户端
2015-08-01 12:36 购买,钻石会员,天津,来自京东Android客户端
2015-08-14 21:16 购买,金牌会员,陕西,来自京东iPhone客户端
2015-08-15 21:31 购买,银牌会员,四川,
2015-08-05 21:10 购买,金牌会员,上海,
2015-06-21 10:17 购买,钻石会员,天津,
2015-07-29 03:44 购买,银牌会员,广东,来自京东iPhone客户端
2015-08-02 09:54 购买,金牌会员,山东,
2015-08-01 21:14 购买,银牌会员,浙江,
2015-08-08 20:25 购买,银牌会员,山东,来自京东iPhone客户端
2015-07-28 14:04 购买,铜牌会员,广东,来自京东Android客户端
2015-08-15 18:33 购买,银牌会员,北京,来自京东Android客户端
2015-06-18 14:38 购买,银牌会员,辽宁,来自京东iPhone客户端
2015-07-18 23:58 购买,金牌会员,北京,来自京东iPad客户端
2015-06-19 06:57 购买,钻石会员,重庆,来自京东Android客户端
2015-08-14 10:38 购买,钻石会员,天津,
2015-08-14 13:24 购买,银牌会员,四川,来自京东Android客户端
2015-08-13 22:57 购买,金牌会员,北京,来自京东iPhone客户端
2015-08-14 10:55 购买,银牌会员,上海,来自京东Android客户端
2015-07-23 21:47 购买,企业会员,江苏,来自京东Android客户端
2015-03-04 00:46 购买,金牌会员,云南,来自京东Android客户端
2015-08-01 13:00 购买,银牌会员,安徽,来自京东iPhone客户端
2015-06-17 21:37 购买,金牌会员,四川,
2015-04-22 19:32 购买,银牌会员,辽宁,来自京东iPhone客户端
2015-07-22 16:02 购买,钻石会员,北京,来自京东Android客户端
2015-07-21 14:06 购买,金牌会员,北京,来自京东Android客户端
2015-08-12 13:21 购买,银牌会员,上海,来自京东Android客户端
2015-08-11 09:04 购买,金牌会员,湖南,来自京东iPhone客户端
2015-08-12 01:08 购买,金牌会员,四川,
2015-08-12 10:21 购买,铜牌会员,广东,来自京东iPhone客户端
2015-07-23 10:50 购买,钻石会员,重庆,来自京东iPhone客户端
2015-08-06 19:52 购买,金牌会员,江苏,来自京东Android客户端
2015-08-08 20:55 购买,铜牌会员,浙江,
2015-03-20 21:12 购买,金牌会员,山东,来自京东iPhone客户端
2015-08-10 09:44 购买,金牌会员,北京,来自京东iPhone客户端
2015-06-29 23:44 购买,银牌会员,上海,来自京东iPhone客户端
2015-03-08 13:53 购买,钻石会员,北京,
2015-08-10 21:16 购买,金牌会员,北京,来自京东iPhone客户端
2015-07-21 15:00 购买,银牌会员,北京,
2015-06-18 21:19 购买,银牌会员,江苏,来自京东Android客户端
2015-07-11 13:55 购买,钻石会员,北京,
2015-08-10 11:20 购买,银牌会员,北京,
2015-06-23 14:04 购买,银牌会员,北京,来自京东iPhone客户端
2015-07-25 22:12 购买,钻石会员,福建,
2015-08-08 22:20 购买,铜牌会员,北京,
2015-07-28 17:13 购买,金牌会员,陕西,来自京东iPhone客户端
2015-08-08 17:37 购买,金牌会员,湖北,来自京东Android客户端
2015-08-03 09:34 购买,金牌会员,上海,
2015-07-28 21:11 购买,钻石会员,福建,来自京东Android客户端
2015-08-06 20:02 购买,钻石会员,北京,来自京东Android客户端
2015-07-29 11:28 购买,银牌会员,北京,
2015-07-14 18:52 购买,金牌会员,陕西,
2015-07-27 22:46 购买,钻石会员,北京,来自京东Android客户端
2015-08-05 07:11 购买,钻石会员,福建,
2015-08-03 14:47 购买,金牌会员,北京,来自京东iPhone客户端
2015-08-05 21:36 购买,金牌会员,北京,来自京东Android客户端
2015-08-02 23:02 购买,金牌会员,北京,来自京东iPhone客户端
2015-07-17 12:09 购买,金牌会员,上海,来自京东Android客户端
2015-06-26 09:57 购买,金牌会员,重庆,来自京东iPhone客户端
2015-07-14 13:01 购买,钻石会员,北京,来自京东Android客户端
2015-06-26 23:56 购买,钻石会员,河北,来自京东Android客户端
2015-08-03 20:51 购买,银牌会员,广东,来自京东iPhone客户端
2015-07-24 20:06 购买,钻石会员,湖南,
2015-08-03 19:49 购买,钻石会员,江苏,来自京东Android客户端
2015-05-02 20:50 购买,金牌会员,上海,来自京东Android客户端
2015-08-04 09:29 购买,铜牌会员,宁夏,来自京东Android客户端
2015-05-23 18:18 购买,钻石会员,广东,
2015-08-02 00:17 购买,银牌会员,北京,来自京东iPhone客户端
