buyer_id,buyer_time,buyer_level,buyer_addr,buyer_device,comment
心***逝,2015-06-20 09:16 购买,金牌会员,天津,来自京东iPhone客户端,抢到一百元优惠卷买的，真心值，比在店铺便宜很多，而且更让我兴奋的是保修期是从我购买那天算起，之前在手机店里买都是他们进货日期，真的大赚啊！以后买手机就京东了！还不用跑去苹果旗舰店，大爱京东！
五十米深蓝色,2015-01-19 15:45 购买,钻石会员,北京,,昨天下单的，本来没想到京东有货，又懒得去苹果店排队，所以京东是首选！给力，速度快，一早送到啦！！
柒***薇,2015-08-15 10:37 购买,金牌会员,北京,来自京东iPhone客户端,帮朋友定的，还没用外观看挺好的
m***利,2015-07-21 22:35 购买,金牌会员,北京,来自京东Android客户端,111111111111112
燕***哲,2015-06-14 07:21 购买,金牌会员,江苏,,买了2个月了，暂时没有发现什么问题，618买的时候还蛮合算的。
j***l,2015-08-13 10:07 购买,银牌会员,福建,来自京东Android客户端,可以！就是没有送保护套！有的话，就更好了！
唐***腿,2015-06-18 15:19 购买,金牌会员,吉林,,用过苹果就不想用别的了，很棒
j***3,2015-08-10 08:59 购买,钻石会员,河南,来自京东Android客户端,帮朋友买的，第二天上午就到了，比官网便宜。。。。
小杰19930108,2015-07-30 19:56 购买,钻石会员,广东,来自京东iPhone客户端,用着还行吧，暂时没有其他问题！
j***蕊,2015-08-05 08:53 购买,金牌会员,四川,来自京东iPhone客户端,存在严重的质量问题啊 漏光非常严重 还好不是翻新机 就是手机存在的质量问题 刚好使用一周 到专卖店进行换新的 京东的售后太麻烦 还要检测什么的 得等好几个工作日 真是一点都不方便
j***6,2015-06-25 21:49 购买,银牌会员,辽宁,,真麻烦还要10个字以上，总之就是非常棒。
4***3,2015-06-18 15:32 购买,银牌会员,山东,,挺好的，喜欢哈，以后会继续支持
l***u,2015-03-06 13:33 购买,金牌会员,山西,,好好，不错还可以。凑字。
j***6,2015-06-25 21:49 购买,银牌会员,辽宁,,真麻烦还要10个字以上，总之就是非常棒。
4***3,2015-06-18 15:32 购买,银牌会员,山东,,挺好的，喜欢哈，以后会继续支持
l***u,2015-03-06 13:33 购买,金牌会员,山西,,好好，不错还可以。凑字。
yq10,2015-07-02 17:09 购买,金牌会员,浙江,来自京东iPhone客户端,手机很棒，质量好，允许流畅，性能好，用的很舒心，很喜欢。买第二个了
j***0,2015-08-06 21:53 购买,银牌会员,湖北,来自京东Android客户端,目前用着还行～不过金色真心没有银色好看
l***7,2015-03-29 10:54 购买,银牌会员,湖南,,用了几个月，进水了怎么办。
懵子王,2015-07-12 19:21 购买,钻石会员,上海,来自京东iPhone客户端,不错。不错不错不错不错，就是买了几天就掉价！
j***q,2015-07-22 12:48 购买,银牌会员,江苏,来自京东iPhone客户端,手机好用 速度很快
