buyer_id,buyer_time,buyer_level,buyer_addr,buyer_device,comment
罗***达,2015-06-17 20:00 购买,企业会员,重庆,,在京东购物，首先看中的是京东速度，京东自营有保障，放心！！！
m***r,2015-04-27 17:02 购买,钻石会员,北京,,就是没的说啊，喜欢，可是送人了
jessica8911,2015-05-30 06:50 购买,银牌会员,上海,来自京东iPhone客户端,订单生成不到8个小时就到货了，速度。用了将近一个月才来评价，妥妥的！
鼻***歪,2015-06-22 23:36 购买,金牌会员,山东,来自京东Android客户端,支持京东，，，，，，，，，，
陕***技,2015-06-05 17:39 购买,企业会员,陕西,来自京东Android客户端,东西好，送货速度快，内存大，像素高
乐乐小子,2015-01-07 18:48 购买,钻石会员,北京,来自京东iPhone客户端,六的速度啊，很爽，美的很。
白***1,2015-01-03 13:17 购买,钻石会员,北京,,很好的大屏手机，系统很流畅
jd_137841zbr,2015-01-03 15:18 购买,银牌会员,河北,,昨天下午下的单，今天上午收到货，京东发货速度超快！！！等使用一段时间再来晒晒……赞一个
mibstudio,2014-10-18 00:20 购买,钻石会员,北京,,不用评价了，好东西，夜里抢购到的，老婆很喜欢，头一批就用上了，国行！
jd135821noy,2014-10-21 16:10 购买,金牌会员,河北,来自京东Android客户端,终于收到神机了，果六非常流畅，能抢到已经很惊喜了，使用手机的效果更是让人眼前一亮，京东物流太牛了，这里也要赞一个！
j***9,2015-08-12 16:29 购买,钻石会员,贵州,来自京东iPhone客户端,买了个128的用来看电影了～～～～～～
赵***1,2015-08-13 09:25 购买,钻石会员,江苏,,一直信赖京东，是正品！
上***沐,2015-08-06 13:29 购买,金牌会员,上海,,好好好好好好好好好好好好好好好好
依***华,2015-08-11 00:01 购买,钻石会员,北京,来自京东Android客户端,到货速度给力，应该是正品，一如既往的相信京东，希望质量不会有问题。
j***r,2015-08-02 11:20 购买,银牌会员,陕西,来自京东iPhone客户端,挺好的，现在正在用哟，大爱
品***义,2015-03-14 11:48 购买,钻石会员,北京,,用了一段时间了，一直没给评价，是想实际感受后再给评价，有时莫名奇妙死机，然后开机再启动，另外在国外就上不去网不知道怎么回事，回来在北京苹果服务中心看了下让我再试使用一段看看
s***6,2015-06-18 20:32 购买,钻石会员,北京,,给媳妇买的。东西不错。适合看片。128g版。到手里面有大概110左右的空间。随便放想看的片吧！
j***s,2015-02-15 01:23 购买,金牌会员,北京,来自京东iPhone客户端,好好好好好好好好好好好好
h***s,2015-07-09 18:30 购买,钻石会员,北京,,啥也不说了，机皇，值得拥有！
妖***果,2015-08-06 13:46 购买,钻石会员,北京,来自京东Android客户端,东西到了外包装都膜了，保护不到位~~
吖***頭,2015-08-09 19:40 购买,金牌会员,山西,来自京东Android客户端,不是原装的吧？原装自带的手机膜竟然有颗粒气泡，反应也不快
j***h,2015-08-07 12:47 购买,金牌会员,广东,来自京东Android客户端,没得说，很好，就是有点贵。这个价钱必须也是好东西。
胖***1,2015-08-08 12:52 购买,钻石会员,广东,来自京东iPhone客户端,很好很好很好很好很好
二***年,2015-08-04 15:58 购买,钻石会员,北京,,不错，送货速度很快。
133*****265,2015-08-08 11:54 购买,金牌会员,福建,来自微信购物,好！送货即使！
l***2,2015-08-06 18:10 购买,钻石会员,北京,,购买放心质量有保证我选择京东
马***侠,2015-08-05 19:48 购买,钻石会员,天津,来自京东iPhone客户端,网上买方便，应该是正品，相信京东
上***狂,2015-08-07 11:54 购买,钻石会员,山东,,苹果就是牛逼 不服不行 很好很满意
j***8,2015-08-08 00:26 购买,金牌会员,北京,来自京东Android客户端,不错，非常好用，但是没想到屏幕显示有点大，握手里不是很方便。
