茂名餐厅,上海市吴江路269号2层
翔川餐厅,上海市妙镜路1118号E号商铺
动力南广场餐厅,上海市石龙路750-3号上海南站地下商场南馆
江苏餐厅,上海市江苏路398号1、2层
威宁餐厅,上海市天山路352号101和201
思贤餐厅,上海市思贤路778--180号
惠乐餐厅,上海市人民西路955号
柳州餐厅,上海市沪闵路9001号上海南站站厅层
真北餐厅,上海市桃浦路328号
马陆弘基餐厅,上海市马陆镇沪宜公路2398/2400号
南方商城餐厅,上海市沪闵路7388号5层
银霄餐厅,上海市银霄路393号百安居龙阳店一层
吴中餐厅,上海市吴中路1109号一层A商铺
阳光港餐厅,上海市佘山林湖路888号-1阳光港区9号
新福海餐厅,上海市四川北路1318号地下一层103单元
年家浜餐厅,"上海市周浦镇沪南公路3449弄1幢32号236-1,236-2号、240号"
三阳餐厅,上海市南京东路626-636号一层和二层
长岛餐厅,上海市长岛路1150号1层
金桥餐厅,"上海市张杨路3611弄1号123,124,216室"
保乐餐厅,上海市繁兴路399弄2号
新港汇餐厅,上海市虹桥路1号五层536铺位
名都餐厅,上海市莘朱路168号B1
香港广场餐厅,上海市淮海中路282号香港广场商场北座地下一层NBL04室
柳州2餐厅,上海市南站站层（商铺号C102）
高青餐厅,上海市长清路1200弄1号1号商铺
谷阳餐厅,上海市松汇中路568号上海鹿都商业广场
南广场餐厅,上海市秣陵路303号
莘漕餐厅,上海市漕宝路1574号一楼1021号
锦尊餐厅,上海市成山路1957号、锦尊路499弄2号203，204室
机场西楼安检餐厅,上海市虹桥机场西航站楼出发层
机场西楼到达餐厅,上海市虹桥机场西航站楼到达层
瑞金餐厅,上海市徐家汇路618号B2层商铺号B2-F-13
市百餐厅,上海市西藏中路462号-500号一百商城（新楼）
北广场餐厅,上海市秣陵路303号上海站北广场北立面1F大厅入口西侧位置
东安路站餐厅,上海市东安路270号轨道交通七号线东安路站站厅层
新凌云餐厅,上海市凌云路365号1F，2F
坂桥餐厅,上海市卫清西路18号一层B103及B104
新天山餐厅,上海市天山路900号118号商铺1层+B1层
虹桥高铁餐厅,上海市虹桥火车站到达城B1-5~B1-8
正大精选餐厅,上海市陆家嘴西路168号正大广场8楼
磁浮精选餐厅,上海市机场站磁悬浮站第二层编号为A07商铺
南站精选餐厅,上海市沪闵路9001号上海南站候车大厅
上海滩餐厅,上海市佘山林湖路888号-1上海滩区5号
金矿镇餐厅,上海市佘山林湖路888号-1金矿镇区1号
太平洋精选餐厅,上海市衡山路932号地下一层
港汇精选餐厅,上海市虹桥路1号港汇广场B108M
高铁精选餐厅,上海市虹桥火车站3F-JC-C10
动力南精选餐厅,上海市沪闵路9001号上海南站（1F三角地A-1）一层
政民餐厅,上海市政民路300号
昌平餐厅,上海市常德路778号102商铺
塘桥餐厅,上海市浦建路15号
百齐餐厅,上海市南桥镇百齐路228、288号1层
联明餐厅,上海市轨道交通六号线上南路站站厅层（1号出口处）
金谊餐厅,上海市上南路4467弄20号
蒙山餐厅,上海市金山区卫清西路473号
永业餐厅,上海市蒙自路25号
华绣餐厅,上海市高科西路2110号山姆会员店1楼肯德基
泗宝餐厅,上海市泗泾镇横港路61号
中华新餐厅,上海市中华新路567号
石龙餐厅,上海市柳州路36号1幢
沪西餐厅,上海市曹杨路520号
美兰餐厅,上海市罗芬路1088号
莘龙餐厅,上海市沪闵路6088号
邯郸餐厅,上海市邯郸路585号地下一层B-2、B-8-1、B-8-3
叶榭餐厅,上海市叶榭镇求仁路149号1层
嘉华餐厅,上海市大华路352号106-107室
光大餐厅,上海市漕宝路78号
龙翔餐厅,上海市蒙山北路399号
宋园餐厅,上海市虹桥路1286号
高行餐厅,上海市东靖路1881号万嘉商业广场1963/1969号
云岭餐厅,上海市大渡河路588号
金运餐厅,上海市金沙江西路1051弄1063室
顾村餐厅,上海市水产西路957号
昌里餐厅,上海市上南路1160号
虹许餐厅,上海市吴中路729、769号苏宁电器一层二层
曹安餐厅,上海市曹安公路1588号
华新餐厅,上海市华新镇华强街239号B02商铺中1、2层
景畔餐厅,上海市大渡河路196号
新宜街餐厅,上海市宜山路700号84幢A1号楼商铺101-102
秀山餐厅,上海市番愚路872号一层
中兴餐厅,上海市秣陵路303号上海站北广场北立面1F大厅入口西侧位置
古棕餐厅,上海市古棕路574号
安亭新镇餐厅,上海市安亭镇墨玉南路1055号嘉亭荟生活广场110室
西渡餐厅,上海市西渡沪杭公路238弄（近西闸路）连城商业广场1号
嘉定城北餐厅,上海市平城路1188号
宝山万达餐厅,上海市128纪念路988弄1号401-2
芷江餐厅,上海市芷江西路398号
湘城餐厅,上海市梅家浜路1500弄101号
亭坊餐厅,上海市九亭镇涞坊路589号
恒达广场餐厅,上海市白丽路263-267号
长江南路餐厅,上海市长江南路5号
明兴餐厅,上海市新桥镇明兴路口家乐福新南路购物中心101号商铺
上丰餐厅,上海市上丰路1772-1784号一层
江文餐厅,上海市江文路589号一层A商铺
合庆餐厅,上海市合庆镇庆南路8号
亭枫餐厅,上海市朱泾镇沈浦泾路28号
芳汇餐厅,上海市长寿路1118号
枫泾餐厅,上海市枫泾镇白牛路280号
车墩餐厅,上海市车墩镇影维路258弄2号一、二层
华泾餐厅,上海市华泾路509号7栋101商铺
鸿音餐厅,上海市南汇南芦公路1755号4-5幢
奉城餐厅,上海市奉城镇城大路151号
沪松DT餐厅,上海市松江荣乐东路605号2层
黄渡DT餐厅,上海市曹安公路4671号
武宁餐厅,上海市武宁路197号
浦南餐厅,上海市浦东南路800号
恒丰餐厅,上海市天目西路311号
沪东餐厅,上海市平凉路1500号
永隆餐厅,上海市淮海中路1298号
控江餐厅,上海市双辽路768号
松江餐厅,上海市松江县中山中路99号
豫园餐厅,上海市福佑路234号
永安餐厅,上海市四川北路1818号
南洋餐厅,上海市南京东路558号
中华餐厅,上海市中华路1405号
曹杨餐厅,上海市兰溪路137号
中亚餐厅,上海市天目西路235号
宝山餐厅,上海市牡丹江路1688号
汇金餐厅,上海市肇嘉浜路998号
朋普餐厅,上海市共和新路4460号
田林餐厅,上海市田林路1号
长寿餐厅,上海市长寿路401号
闵行餐厅,上海市江川路279号
曼克顿餐厅,上海市南京东路463-477号
海光餐厅,上海市大木桥路370号
嘉定餐厅,上海市清河路8号
浦三餐厅,上海市浦东南路2551号
仙霞餐厅,上海市仙霞路606号
乐购餐厅,上海市七莘路3155号
大润发餐厅,上海市黄兴路1616号
青浦餐厅,上海市青浦镇公园路461号
中原餐厅,上海市中原路188号
金杨餐厅,上海市金杨路524号
打浦桥餐厅,上海市徐家汇路679号
共康餐厅,上海市共江路1168号
大华餐厅,上海市华灵路1051号
长风餐厅,上海市金沙江路588号
共和餐厅,上海市共和新路3318号
铜川餐厅,上海市铜川路1688号
